"jhu_ID","date","update","cases","new_cases","deaths","new_deaths","country","last_update"
"Washington",2020-01-22,1,1,0,0,0,"Washington",
"Washington",2020-01-23,2,1,0,0,0,"Washington",
"Washington",2020-01-24,3,1,0,0,0,"Washington",
"Washington",2020-01-25,4,1,0,0,0,"Washington",
"Washington",2020-01-26,5,1,0,0,0,"Washington",
"Washington",2020-01-27,6,1,0,0,0,"Washington",
"Washington",2020-01-28,7,1,0,0,0,"Washington",
"Washington",2020-01-29,8,1,0,0,0,"Washington",
"Washington",2020-01-30,9,1,0,0,0,"Washington",
"Washington",2020-01-31,10,1,0,0,0,"Washington",
"Washington",2020-02-01,11,1,0,0,0,"Washington",
"Washington",2020-02-02,12,1,0,0,0,"Washington",
"Washington",2020-02-03,13,1,0,0,0,"Washington",
"Washington",2020-02-04,14,1,0,0,0,"Washington",
"Washington",2020-02-05,15,1,0,0,0,"Washington",
"Washington",2020-02-06,16,1,0,0,0,"Washington",
"Washington",2020-02-07,17,2,1,0,0,"Washington",
"Washington",2020-02-08,18,2,0,0,0,"Washington",
"Washington",2020-02-09,19,2,0,0,0,"Washington",
"Washington",2020-02-10,20,2,0,0,0,"Washington",
"Washington",2020-02-11,21,2,0,0,0,"Washington",
"Washington",2020-02-12,22,2,0,0,0,"Washington",
"Washington",2020-02-13,23,2,0,0,0,"Washington",
"Washington",2020-02-14,24,2,0,0,0,"Washington",
"Washington",2020-02-15,25,2,0,0,0,"Washington",
"Washington",2020-02-16,26,2,0,0,0,"Washington",
"Washington",2020-02-17,27,2,0,0,0,"Washington",
"Washington",2020-02-18,28,2,0,0,0,"Washington",
"Washington",2020-02-19,29,2,0,0,0,"Washington",
"Washington",2020-02-20,30,2,0,0,0,"Washington",
"Washington",2020-02-21,31,2,0,0,0,"Washington",
"Washington",2020-02-22,32,2,0,0,0,"Washington",
"Washington",2020-02-23,33,2,0,0,0,"Washington",
"Washington",2020-02-24,34,2,0,0,0,"Washington",
"Washington",2020-02-25,35,2,0,0,0,"Washington",
"Washington",2020-02-26,36,2,0,2,2,"Washington",
"Washington",2020-02-27,37,2,0,2,0,"Washington",
"Washington",2020-02-28,38,9,7,4,2,"Washington",
"Washington",2020-02-29,39,18,9,5,1,"Washington",
"Michigan",2020-03-01,40,9,0,0,0,"Michigan",
"Rhode Island",2020-03-01,40,1,0,0,0,"Rhode Island",
"Washington",2020-03-01,40,30,12,8,3,"Washington",
"Michigan",2020-03-02,41,18,9,0,0,"Michigan",
"Rhode Island",2020-03-02,41,1,0,0,0,"Rhode Island",
"Washington",2020-03-02,41,34,4,11,3,"Washington",
"Michigan",2020-03-03,42,34,16,0,0,"Michigan",
"Rhode Island",2020-03-03,42,2,1,0,0,"Rhode Island",
"Washington",2020-03-03,42,58,24,14,3,"Washington",
"Arizona",2020-03-04,43,2,0,0,0,"Arizona",
"California",2020-03-04,43,53,0,0,0,"California",
"Florida",2020-03-04,43,2,0,0,0,"Florida",
"Georgia",2020-03-04,43,2,0,0,0,"Georgia",
"Illinois",2020-03-04,43,4,0,0,0,"Illinois",
"Michigan",2020-03-04,43,52,18,0,0,"Michigan",
"New Hampshire",2020-03-04,43,2,0,0,0,"New Hampshire",
"New York",2020-03-04,43,6,0,0,0,"New York",
"North Carolina",2020-03-04,43,1,0,0,0,"North Carolina",
"Oregon",2020-03-04,43,3,0,0,0,"Oregon",
"Rhode Island",2020-03-04,43,2,0,0,0,"Rhode Island",
"South Carolina",2020-03-04,43,0,0,0,0,"South Carolina",
"Texas",2020-03-04,43,1,0,0,0,"Texas",
"Washington",2020-03-04,43,76,18,16,2,"Washington",
"Wisconsin",2020-03-04,43,1,0,0,0,"Wisconsin",
"Arizona",2020-03-05,44,2,0,0,0,"Arizona",
"California",2020-03-05,44,53,0,0,0,"California",
"Colorado",2020-03-05,44,0,0,0,0,"Colorado",
"District Of Columbia",2020-03-05,44,0,0,0,0,"District Of Columbia",
"Florida",2020-03-05,44,9,7,0,0,"Florida",
"Georgia",2020-03-05,44,2,0,0,0,"Georgia",
"Illinois",2020-03-05,44,5,1,0,0,"Illinois",
"Maryland",2020-03-05,44,0,0,0,0,"Maryland",
"Michigan",2020-03-05,44,72,20,0,0,"Michigan",
"Nebraska",2020-03-05,44,0,0,0,0,"Nebraska",
"Nevada",2020-03-05,44,1,0,0,0,"Nevada",
"New Hampshire",2020-03-05,44,2,0,0,0,"New Hampshire",
"New Jersey",2020-03-05,44,1,0,0,0,"New Jersey",
"New York",2020-03-05,44,22,16,0,0,"New York",
"North Carolina",2020-03-05,44,1,0,0,0,"North Carolina",
"Ohio",2020-03-05,44,0,0,0,0,"Ohio",
"Oregon",2020-03-05,44,3,0,0,0,"Oregon",
"Rhode Island",2020-03-05,44,2,0,0,0,"Rhode Island",
"South Carolina",2020-03-05,44,0,0,0,0,"South Carolina",
"Tennessee",2020-03-05,44,1,0,0,0,"Tennessee",
"Texas",2020-03-05,44,1,0,0,0,"Texas",
"Virginia",2020-03-05,44,0,0,0,0,"Virginia",
"Washington",2020-03-05,44,97,21,20,4,"Washington",
"Wisconsin",2020-03-05,44,1,0,0,0,"Wisconsin",
"Alaska",2020-03-06,45,0,0,0,0,"Alaska",
"Arizona",2020-03-06,45,3,1,0,0,"Arizona",
"Arkansas",2020-03-06,45,0,0,0,0,"Arkansas",
"California",2020-03-06,45,60,7,0,0,"California",
"Colorado",2020-03-06,45,2,2,0,0,"Colorado",
"Delaware",2020-03-06,45,0,0,0,0,"Delaware",
"District Of Columbia",2020-03-06,45,0,0,0,0,"District Of Columbia",
"Florida",2020-03-06,45,9,0,0,0,"Florida",
"Georgia",2020-03-06,45,2,0,0,0,"Georgia",
"Illinois",2020-03-06,45,5,0,0,0,"Illinois",
"Indiana",2020-03-06,45,1,0,0,0,"Indiana",
"Iowa",2020-03-06,45,0,0,0,0,"Iowa",
"Kansas",2020-03-06,45,0,0,0,0,"Kansas",
"Kentucky",2020-03-06,45,0,0,0,0,"Kentucky",
"Maryland",2020-03-06,45,3,3,0,0,"Maryland",
"Michigan",2020-03-06,45,98,26,0,0,"Michigan",
"Minnesota",2020-03-06,45,0,0,0,0,"Minnesota",
"Nebraska",2020-03-06,45,0,0,0,0,"Nebraska",
"Nevada",2020-03-06,45,1,0,0,0,"Nevada",
"New Hampshire",2020-03-06,45,2,0,0,0,"New Hampshire",
"New Jersey",2020-03-06,45,1,0,0,0,"New Jersey",
"New Mexico",2020-03-06,45,0,0,0,0,"New Mexico",
"New York",2020-03-06,45,33,11,0,0,"New York",
"North Carolina",2020-03-06,45,2,1,0,0,"North Carolina",
"Ohio",2020-03-06,45,0,0,0,0,"Ohio",
"Oregon",2020-03-06,45,3,0,0,0,"Oregon",
"Pennsylvania",2020-03-06,45,2,0,0,0,"Pennsylvania",
"Rhode Island",2020-03-06,45,3,1,0,0,"Rhode Island",
"South Carolina",2020-03-06,45,0,0,0,0,"South Carolina",
"Tennessee",2020-03-06,45,1,0,0,0,"Tennessee",
"Texas",2020-03-06,45,5,4,0,0,"Texas",
"Vermont",2020-03-06,45,0,0,0,0,"Vermont",
"Virginia",2020-03-06,45,0,0,0,0,"Virginia",
"Washington",2020-03-06,45,150,53,26,6,"Washington",
"West Virginia",2020-03-06,45,0,0,0,0,"West Virginia",
"Wisconsin",2020-03-06,45,1,0,0,0,"Wisconsin",
"Alabama",2020-03-07,46,0,0,0,0,"Alabama",
"Alaska",2020-03-07,46,0,0,0,0,"Alaska",
"Arizona",2020-03-07,46,5,2,0,0,"Arizona",
"Arkansas",2020-03-07,46,0,0,0,0,"Arkansas",
"California",2020-03-07,46,69,9,0,0,"California",
"Colorado",2020-03-07,46,8,6,0,0,"Colorado",
"Connecticut",2020-03-07,46,0,0,0,0,"Connecticut",
"Delaware",2020-03-07,46,0,0,0,0,"Delaware",
"District Of Columbia",2020-03-07,46,0,0,0,0,"District Of Columbia",
"Florida",2020-03-07,46,14,5,0,0,"Florida",
"Georgia",2020-03-07,46,6,4,0,0,"Georgia",
"Hawaii",2020-03-07,46,1,0,0,0,"Hawaii",
"Idaho",2020-03-07,46,0,0,0,0,"Idaho",
"Illinois",2020-03-07,46,6,1,0,0,"Illinois",
"Indiana",2020-03-07,46,1,0,0,0,"Indiana",
"Iowa",2020-03-07,46,0,0,0,0,"Iowa",
"Kansas",2020-03-07,46,0,0,0,0,"Kansas",
"Kentucky",2020-03-07,46,1,1,0,0,"Kentucky",
"Louisiana",2020-03-07,46,0,0,0,0,"Louisiana",
"Maine",2020-03-07,46,0,0,0,0,"Maine",
"Maryland",2020-03-07,46,3,0,0,0,"Maryland",
"Michigan",2020-03-07,46,128,30,0,0,"Michigan",
"Minnesota",2020-03-07,46,1,1,0,0,"Minnesota",
"Mississippi",2020-03-07,46,0,0,0,0,"Mississippi",
"Missouri",2020-03-07,46,0,0,0,0,"Missouri",
"Montana",2020-03-07,46,0,0,0,0,"Montana",
"Nebraska",2020-03-07,46,1,1,0,0,"Nebraska",
"Nevada",2020-03-07,46,1,0,0,0,"Nevada",
