country,source
Afghanistan,fetch
Botswana,selenium
Brunei,selenium
Bulgaria,selenium
Cyprus,selenium
Estonia,selenium
Eswatini,selenium
Ethiopia,selenium
FaroeIslands,selenium
Ireland,selenium
Jamaica,selenium
Japan,selenium
Latvia,selenium
Lesotho,selenium
Madagascar,selenium
Malawi,selenium
Mauritania,selenium
Mauritius,selenium
Nepal,selenium
Niger,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
SaintLucia,selenium
Somalia,selenium
SouthAfrica,selenium
UnitedArabEmirates,selenium
US,selenium
