country,last_update,days_no_update
Tajikistan,2020-03-30,462
China,2020-06-24,376
UnitedRepublicofTanzania,2020-06-27,373
Uzbekistan,2020-07-14,356
FrenchPolynesia,2020-09-07,301
Algeria,2020-11-01,246
Comoros,2020-11-27,220
Eritrea,2020-12-21,196
Seychelles,2020-12-21,196
Brazil,2021-02-19,136
TheBahamas,2021-02-22,133
Mauritius,2021-04-07,89
Grenada,2021-04-24,72
HongKong,2021-05-04,62
Vietnam,2021-05-08,58
SaoTomeandPrincipe,2021-05-10,56
Scotland,2021-05-10,56
Sweden,2021-05-10,56
Ireland,2021-05-13,53
Benin,2021-05-18,48
Thailand,2021-05-22,44
Bhutan,2021-05-27,39
Kazakhstan,2021-05-28,38
Oman,2021-05-28,38
SanMarino,2021-05-30,36
SriLanka,2021-05-30,36
Venezuela,2021-05-30,36
Cyprus,2021-05-31,35
Jordan,2021-06-06,29
AntiguaandBarbuda,2021-06-07,28
WesternSahara,2021-06-08,27
Slovenia,2021-06-09,26
Myanmar,2021-06-10,25
Israel,2021-06-13,22
Greenland,2021-06-15,20
Uruguay,2021-06-15,20
Georgia,2021-06-16,19
Guyana,2021-06-16,19
Malaysia,2021-06-16,19
Russia,2021-06-16,19
TrinidadandTobago,2021-06-16,19
PapuaNewGuinea,2021-06-17,18
Peru,2021-06-17,18
Denmark,2021-06-18,17
SouthSudan,2021-06-18,17
Sudan,2021-06-18,17
Bolivia,2021-06-20,15
Chile,2021-06-20,15
Iraq,2021-06-20,15
Kosovo,2021-06-20,15
Paraguay,2021-06-20,15
Afghanistan,2021-06-21,14
Brunei,2021-06-21,14
Cambodia,2021-06-21,14
Croatia,2021-06-21,14
Honduras,2021-06-21,14
Maldives,2021-06-21,14
Moldova,2021-06-21,14
Montenegro,2021-06-21,14
occupiedPalestinianterritory,2021-06-21,14
Pakistan,2021-06-21,14
Philippines,2021-06-21,14
Romania,2021-06-21,14
SaintVincentandtheGrenadines,2021-06-21,14
Cameroon,2021-06-22,13
Japan,2021-06-22,13
Nigeria,2021-06-22,13
Poland,2021-06-22,13
SaintKittsandNevis,2021-06-22,13
Burundi,2021-06-23,12
Kyrgyzstan,2021-06-23,12
Lebanon,2021-06-23,12
Panama,2021-06-23,12
Congo,2021-06-24,11
Germany,2021-06-24,11
Ghana,2021-06-24,11
TheGambia,2021-06-24,11
Botswana,2021-06-25,10
Dominica,2021-06-25,10
EquatorialGuinea,2021-06-25,10
Guinea,2021-06-25,10
Libya,2021-06-25,10
Madagascar,2021-06-25,10
Somalia,2021-06-25,10
Angola,2021-06-26,9
BurkinaFaso,2021-06-26,9
CapeVerde,2021-06-26,9
CentralAfricanRepublic,2021-06-26,9
Chad,2021-06-26,9
CotedIvoire,2021-06-26,9
Cuba,2021-06-26,9
DominicanRepublic,2021-06-26,9
Ethiopia,2021-06-26,9
Gabon,2021-06-26,9
GuineaBissau,2021-06-26,9
Iran,2021-06-26,9
Jamaica,2021-06-26,9
Kuwait,2021-06-26,9
Liberia,2021-06-26,9
Luxembourg,2021-06-26,9
Mali,2021-06-26,9
Mauritania,2021-06-26,9
Morocco,2021-06-26,9
Niger,2021-06-26,9
Rwanda,2021-06-26,9
Senegal,2021-06-26,9
SierraLeone,2021-06-26,9
Togo,2021-06-26,9
Tunisia,2021-06-26,9
Barbados,2021-06-27,8
DemocraticRepublicoftheCongo,2021-06-27,8
Djibouti,2021-06-27,8
Egypt,2021-06-27,8
Eswatini,2021-06-27,8
Kenya,2021-06-27,8
Lesotho,2021-06-27,8
Malawi,2021-06-27,8
Mozambique,2021-06-27,8
Namibia,2021-06-27,8
Netherlands,2021-06-27,8
SouthAfrica,2021-06-27,8
Uganda,2021-06-27,8
Zambia,2021-06-27,8
Zimbabwe,2021-06-27,8
Spain,2021-06-28,7
Singapore,2021-06-29,6
Slovakia,2021-06-29,6
Andorra,2021-06-30,5
Belize,2021-06-30,5
Finland,2021-06-30,5
Iceland,2021-07-01,4
NorthMacedonia,2021-07-01,4
Turkey,2021-07-01,4
Ecuador,2021-07-02,3
Hungary,2021-07-02,3
Norway,2021-07-02,3
Portugal,2021-07-02,3
Switzerland,2021-07-02,3
UnitedKingdom,2021-07-02,3
Bangladesh,2021-07-03,2
Belgium,2021-07-03,2
Bermuda,2021-07-03,2
CostaRica,2021-07-03,2
ElSalvador,2021-07-03,2
LaoPeople'sDemocraticRepublic,2021-07-03,2
UnitedArabEmirates,2021-07-03,2
Albania,2021-07-04,1
Argentina,2021-07-04,1
Armenia,2021-07-04,1
Australia,2021-07-04,1
Austria,2021-07-04,1
Azerbaijan,2021-07-04,1
Belarus,2021-07-04,1
Bulgaria,2021-07-04,1
Czechia,2021-07-04,1
Estonia,2021-07-04,1
FaroeIslands,2021-07-04,1
Fiji,2021-07-04,1
Greece,2021-07-04,1
India,2021-07-04,1
Indonesia,2021-07-04,1
Italy,2021-07-04,1
Latvia,2021-07-04,1
Lithuania,2021-07-04,1
Malta,2021-07-04,1
Nepal,2021-07-04,1
NewCaledonia,2021-07-04,1
Qatar,2021-07-04,1
SaudiArabia,2021-07-04,1
Serbia,2021-07-04,1
Taiwan,2021-07-04,1
Ukraine,2021-07-04,1
US,2021-07-04,1
Bahrain,2021-07-05,0
BosniaandHerzegovina,2021-07-05,0
Canada,2021-07-05,0
Colombia,2021-07-05,0
France,2021-07-05,0
Guatemala,2021-07-05,0
Mexico,2021-07-05,0
NewZealand,2021-07-05,0
RepublicofKorea,2021-07-05,0
SaintLucia,2021-07-05,0
