country,date,tests_cumulative,pcr_tests_cum,pcr_tests_new,rapid_test_cum,rapid_test_new,pcr_tests_cum_corrected,pcr_tests_new_corrected,rapid_test_cum_corrected,rapid_test_new_corrected,sum_tests_comparison,type_of_error
Austria,2021-03-26,22051094,6556772,-11782,15494322,497414,6556772,-11782,15494322,497414,0,negative values
Austria,2021-03-27,22194436,6333726,-223046,15860710,366388,6333726,-223046,15860710,366388,0,negative values
Austria,2021-04-25,30688612,8117301,62129,22517311,83429,8117301,62129,22517311,83429,54000,segregated values don't sum up
Austria,2021-04-28,31317709,8306460,90333,23011249,-35676,8306460,90333,23011249,-35676,0,negative values
Benin,2021-06-09,8137,8109,-596201,28,-36248,8109,-596201,28,-36248,0,negative values
Greece,2021-06-02,9627393,14596,14596,30588,30588,14596,14596,30588,30588,9582209,segregated values don't sum up
Greece,2021-06-03,9673644,14647,51,31604,1016,14647,51,31604,1016,9627393,segregated values don't sum up
Greece,2021-06-04,9721452,14050,-597,33758,2154,14050,-597,33758,2154,9673644,segregated values don't sum up and negative values
Greece,2021-06-05,9771260,15151,1101,34657,899,15151,1101,34657,899,9721452,segregated values don't sum up
Greece,2021-06-06,9791765,6773,-8378,13732,-20925,6773,-8378,13732,-20925,9771260,segregated values don't sum up and negative values
Greece,2021-06-07,9812468,5236,-1537,15467,1735,5236,-1537,15467,1735,9791765,segregated values don't sum up and negative values
Greece,2021-06-08,9868380,18395,13159,37517,22050,18395,13159,37517,22050,9812468,segregated values don't sum up
Greece,2021-06-09,9910362,13926,-4469,28056,-9461,13926,-4469,28056,-9461,9868380,segregated values don't sum up and negative values
Greece,2021-06-10,9952216,13242,-684,28612,556,13242,-684,28612,556,9910362,segregated values don't sum up and negative values
Greece,2021-06-11,9994319,13650,408,28453,-159,13650,408,28453,-159,9952216,segregated values don't sum up and negative values
Greece,2021-06-12,10039094,14208,558,30567,2114,14208,558,30567,2114,9994319,segregated values don't sum up
Greece,2021-06-13,10059608,5953,-8255,14561,-16006,5953,-8255,14561,-16006,10039094,segregated values don't sum up and negative values
Greece,2021-06-14,10079010,4335,-1618,15067,506,4335,-1618,15067,506,10059608,segregated values don't sum up and negative values
Greece,2021-06-15,10129590,16393,12058,34187,19120,16393,12058,34187,19120,10079010,segregated values don't sum up
Greece,2021-06-16,10168315,12740,-3653,25985,-8202,12740,-3653,25985,-8202,10129590,segregated values don't sum up and negative values
Greece,2021-06-17,10168315,12740,0,25985,0,12740,0,25985,0,10129590,other
Indonesia,2021-06-15,16704989,14565682,-753538,2139307,-514972,14565682,-753538,2139307,-514972,0,negative values
Indonesia,2021-06-17,16797671,14638277,-814602,2159394,-562708,14638277,-814602,2159394,-562708,0,negative values
