country.jhu_ID,country.tests_cumulative,country.new_tests,country.date,country.source,country.status,country.url
Afghanistan,NA,NA,2021-02-08,manually,pdf,https://www.humanitarianresponse.info/en/operations/afghanistan/health/documents/table
Argentina,NA,NA,2021-02-08,manually,pdf,https://www.argentina.gob.ar/coronavirus/informes-diarios/reportes/diciembre2020
Bhutan,NA,NA,2021-02-08,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,NA,NA,2021-02-08,manually,image,https://www.minsalud.gob.bo/
Canada,NA,NA,2021-02-08,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html
Colombia,NA,NA,2021-02-08,manually,json,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx
CostaRica,NA,NA,2021-02-08,manually,csv,http://geovision.uned.ac.cr/oges/index.html
Cuba,NA,NA,2021-02-08,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,NA,NA,2021-02-08,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,NA,NA,2021-02-08,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,NA,NA,2021-02-08,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
FrenchPolynesia,NA,NA,2021-02-08,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,NA,NA,2021-02-08,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,NA,NA,2021-02-08,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Grenada,NA,NA,2021-02-08,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,NA,NA,2021-02-08,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,NA,NA,2021-02-08,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,NA,NA,2021-02-08,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iraq,NA,NA,2021-02-08,manually,image,https://www.facebook.com/MOH.GOV.IQ
Israel,NA,NA,2021-02-08,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jordan,NA,NA,2021-02-08,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,NA,NA,2021-02-08,manually,special_dashboard,https://hls.kz/
Kosovo,NA,NA,2021-02-08,manually,facebook,https://www.facebook.com/IKSHPK
Kuwait,NA,NA,2021-02-08,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,NA,NA,2021-02-08,manually,image,http://www.med.kg/ru/informatsii.html
Latvia,NA,NA,2021-02-08,manually,automated,https://infogram.com/covid-19-izplatiba-latvija-1hzj4ozwvnzo2pw
Luxembourg,NA,NA,2021-02-08,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
China,NA,NA,2021-02-08,manually,without_information,NA
Malaysia,NA,NA,2021-02-08,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,NA,NA,2021-02-08,manually,twitter,https://twitter.com/HPA_MV/status/1348675860627419136
Malta,NA,NA,2021-02-08,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
Moldova,NA,NA,2021-02-08,manually,not_yet_automated_daily,https://msmps.gov.md/?s=cazuri+de+COVID-19
Montenegro,NA,NA,2021-02-08,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Netherlands,NA,NA,2021-02-08,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information
occupiedPalestinianterritory,NA,NA,2021-02-08,manually,automated,https://corona.ps/
Oman,NA,NA,2021-02-08,manually,twitter,https://twitter.com/OmanVSCovid19
Pakistan,NA,NA,2021-02-08,manually,automated,http://covid.gov.pk/
Panama,NA,NA,2021-02-08,manually,twitter,https://twitter.com/MINSAPma/status/1325931093804113925/photo/1
PapuaNewGuinea,NA,NA,2021-02-08,manually,problems_webpage,https://covid19.info.gov.pg/
Paraguay,NA,NA,2021-02-08,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html
Peru,NA,NA,2021-02-08,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,NA,NA,2021-02-08,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker
Poland,NA,NA,2021-02-08,manually,image,https://twitter.com/MZ_GOV_PL
SaintKittsandNevis,NA,NA,2021-02-08,manually,special_dashboard,https://covid19.gov.kn/
SaintVincentandtheGrenadines,NA,NA,2021-02-08,manually,image,https://www.facebook.com/SVGHEALTH/photos
Scotland,NA,NA,2021-02-08,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
Sweden,NA,NA,2021-02-08,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/
Tajikistan,NA,NA,2021-02-08,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia
TheBahamas,NA,NA,2021-02-08,manually,facebook,https://www.facebook.com/MOHBahamas/
TrinidadandTobago,NA,NA,2021-02-08,manually,pdf,http://www.health.gov.tt/sitepages/default.aspx?id=293
Uzbekistan,NA,NA,2021-02-08,manually,without_information,https://t.me/koronavirusinfouz/3470
Venezuela,NA,NA,2021-02-08,manually,without_information,https://covid19.patria.org.ve/?s=de+la+lucha+contra+la+COVID-19%3A
Vietnam,NA,NA,2021-02-08,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
