country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url
Afghanistan,NA,0,NA,NA,2022-05-31,manually,automated,http://covid.moph-dw.orghttp://covidapp.moph-dw.org/
Andorra,NA,0,NA,NA,2022-05-31,manually,need_new_source,https://www.govern.ad/covid19/en/
Argentina,NA,0,NA,NA,2022-05-31,manually,automated,https://coronavirus.msal.gov.ar/publico/d/20as/sala-de-situacion-coronavirus-acceso-publico/d/20as/sala-de-situacion-coronavirus-acceso-publico?orgId=3&refresh=15m
Austria,NA,0,NA,NA,2022-05-31,manually,automated,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Azerbaijan,NA,0,NA,NA,2022-05-31,manually,automated,https://koronavirusinfo.az/az/page/statistika/azerbaycanda-cari-veziyyet
Barbados,NA,0,NA,NA,2022-05-31,manually,automated,https://gisbarbados.gov.bb/covid-19/
Belarus,NA,0,NA,NA,2022-05-31,manually,automated,http://stopcovid.belta.by/
Bhutan,NA,0,NA,NA,2022-05-31,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,NA,0,NA,NA,2022-05-31,manually,image,https://www.minsalud.gob.bo/
Brunei,NA,0,NA,NA,2022-05-31,manually,need_new_source,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx
Cambodia,NA,0,NA,NA,2022-05-31,manually,automated,http://cdcmoh.gov.kh
China,NA,0,NA,NA,2022-05-31,manually,without_information,NA
Croatia,NA,0,NA,NA,2022-05-31,manually,not_yet_automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,13861,-13847672,13861,-13847672,2022-05-31,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,NA,0,NA,NA,2022-05-31,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Denmark,NA,0,NA,NA,2022-05-31,manually,automated,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts
Dominica,NA,0,NA,NA,2022-05-31,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,NA,0,NA,NA,2022-05-31,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
FrenchPolynesia,NA,0,NA,NA,2022-05-31,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,NA,0,NA,NA,2022-05-31,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,NA,0,NA,NA,2022-05-31,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Greenland,NA,0,NA,NA,2022-05-31,manually,need_new_source,https://e.infogram.com/a7e83088-1850-42bb-993a-2bc35f63d26b?src=embed
