country,tests_cumulative,new_tests,date,source
Bhutan,479480,142533,2021-02-03,https://web.facebook.com/MoHBhutan/photos/a.771480979580187/3865921040136150/
Bolivia,575357,12504,2021-02-03,https://www.minsalud.gob.bo/5247-de-un-diagnostico-de-7-233-pruebas-2-127-son-casos-positivos-de-covid-19-y-5-106-resultados-negativos
Cambodia,407915,46427,2021-02-03,http://cdcmoh.gov.kh/
Cuba,1940006,17106,2021-02-03,http://www.cubadebate.cu/noticias/2021/02/03/cuba-reporta-893-nuevos-casos-de-covid-19-y-dos-fallecidos-video/
Iraq,5752920,46583,2021-02-03,https://web.facebook.com/MOH.GOV.IQ/photos/a.860171854037214/3712237642163940/
Jordan,3936085,22315,2021-02-03,https://corona.moh.gov.jo/en
Kosovo,240696,2357,2021-02-03,https://www.facebook.com/IKSHPK
Kuwait,1557044,9642,2021-02-03,https://twitter.com/KUWAIT_MOH/status/1356935531981123589/photo/1
Maldives,420675,3362,2021-02-03,https://twitter.com/HPA_MV/status/1357010769305604098/photo/1
Malta,621426,2973,2021-02-03,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
