country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
Afghanistan,2021-03-16,NA,0,NA,NA,manually,pdf,https://www.humanitarianresponse.info/en/operations/afghanistan/health/documents/table
Argentina,2021-03-16,NA,0,NA,NA,manually,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion
Bhutan,2021-03-16,566028,NA,NA,NA,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2021-03-16,NA,0,NA,NA,manually,image,https://www.minsalud.gob.bo/
Brazil,2021-03-16,NA,0,NA,NA,manually,automated,https://viz.saude.gov.br/extensions/DEMAS_C19Insumos_TESTES/DEMAS_C19Insumos_TESTES.html
BurkinaFaso,2021-03-16,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Chile,2021-03-16,NA,0,NA,NA,manually,automated,https://www.gob.cl/coronavirus/cifrasoficiales/
China,2021-03-16,NA,0,NA,NA,manually,without_information,NA
Colombia,2021-03-16,12062703,NA,NA,NA,manually,json,https://twitter.com/MinSaludCol
CostaRica,2021-03-16,743550,NA,NA,NA,manually,csv,http://geovision.uned.ac.cr/oges/index.html
Croatia,2021-03-16,NA,0,NA,NA,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,2021-03-16,NA,0,NA,NA,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,2021-03-16,NA,0,NA,NA,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Denmark,2021-03-16,NA,0,NA,NA,manually,automated,https://experience.arcgis.com/experience/aa41b29149f24e20a4007a0c4e13db1d
Dominica,2021-03-16,NA,0,NA,NA,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,2021-03-16,NA,0,NA,NA,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Ecuador,2021-03-16,NA,0,NA,NA,manually,automated,https://www.salud.gob.ec/actualizacion-de-casos-de-coronavirus-en-ecuador/
FrenchPolynesia,2021-03-16,NA,0,NA,NA,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,2021-03-16,1892031,NA,NA,NA,manually,not_yet_automated_daily,https://stopcov.ge/en/
