country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url
Afghanistan,749257,0,NA,NA,2021-08-24,manually,pdf,http://covid.moph-dw.org/#/
Benin,640586,0,604310,0,2021-08-24,manually,automated,https://africacdc.org/covid-19/
Bhutan,NA,0,NA,NA,2021-08-24,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2244865,0,NA,NA,2021-08-24,manually,image,https://www.minsalud.gob.bo/
Brazil,NA,0,NA,NA,2021-08-24,manually,automated,https://viz.saude.gov.br/extensions/DEMAS_C19Insumos_TESTES/DEMAS_C19Insumos_TESTES.html
Brunei,209272,0,NA,NA,2021-08-24,manually,automated,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx
Cambodia,2061720,0,NA,NA,2021-08-24,manually,automated,http://cdcmoh.gov.kh/
China,NA,0,NA,NA,2021-08-24,manually,without_information,NA
Colombia,23831605,0,NA,NA,2021-08-24,manually,automated,https://infogram.com/panorama-general-1h7z2lgn3l9l4ow?live
Croatia,2480446,0,NA,NA,2021-08-24,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,7634180,0,NA,NA,2021-08-24,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,NA,0,NA,NA,2021-08-24,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,NA,0,NA,NA,2021-08-24,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,1938279,0,NA,NA,2021-08-24,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Fiji,365005,0,NA,NA,2021-08-24,manually,automated,http://www.health.gov.fj/
FrenchPolynesia,NA,0,NA,NA,2021-08-24,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,NA,0,NA,NA,2021-08-24,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,NA,0,NA,NA,2021-08-24,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Guyana,NA,0,NA,NA,2021-08-24,manually,image,https://www.health.gov.gy/
Honduras,947742,0,NA,NA,2021-08-24,manually,image,http://www.bvs.hn/COVID-19/
HongKong,23570776,0,NA,NA,2021-08-24,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iran,28093587,0,NA,NA,2021-08-24,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,NA,0,NA,NA,2021-08-24,manually,image,https://www.facebook.com/MOH.GOV.IQ
Israel,20313067,0,NA,NA,2021-08-24,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,536624,0,NA,NA,2021-08-24,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Japan,19974766,0,NA,NA,2021-08-24,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html
Jordan,NA,0,NA,NA,2021-08-24,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,NA,0,NA,NA,2021-08-24,manually,special_dashboard,https://hls.kz/
Kosovo,NA,0,NA,NA,2021-08-24,manually,facebook,https://datastudio.google.com/embed/u/0/reporting/2e546d77-8f7b-4c35-8502-38533aa0e9e8/page/MT0qB?fbclid=IwAR3bGrIV4hcD6Qe0CXv_f3ukuBKuNLkAacl4yPohGOvD5U_JjVERrnpqwes
Kuwait,3699218,0,NA,NA,2021-08-24,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,NA,0,NA,NA,2021-08-24,manually,image,https://www.instagram.com/daryger_sunushu/
LaoPeoplesDemocraticRepublic,NA,0,NA,NA,2021-08-24,manually,automated,https://www.covid19.gov.la/index.php
