country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url,comentarios,frecuencia,cambiar status
Afghanistan,NA,0,NA,NA,2022-01-04,manually,pdf,http://covid.moph-dw.org/#/,NA,NA,NA
Armenia,NA,0,NA,NA,2022-01-04,manually,automated,https://ncdc.am/coronavirus/confirmed-cases-by-days/,NA,NA,NA
Bangladesh,NA,0,NA,NA,2022-01-04,manually,automated,https://corona.gov.bd/,NA,NA,NA
Barbados,NA,0,NA,NA,2022-01-04,manually,automated,https://gisbarbados.gov.bb/covid-19/,NA,NA,NA
Benin,NA,0,NA,NA,2022-01-04,manually,automated,https://www.gouv.bj/coronavirus/,NA,NA,NA
Bhutan,NA,0,NA,NA,2022-01-04,manually,image,https://www.facebook.com/MoHBhutan/,NA,NA,NA
Bolivia,NA,0,NA,NA,2022-01-04,manually,image,https://www.minsalud.gob.bo/,NA,NA,NA
Brunei,NA,0,NA,NA,2022-01-04,manually,automated,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx,NA,NA,NA
Bulgaria,NA,0,NA,NA,2022-01-04,manually,automated,https://coronavirus.bg/,NA,NA,NA
Cambodia,NA,0,NA,NA,2022-01-04,manually,automated,http://cdcmoh.gov.kh/,NA,NA,NA
China,NA,0,NA,NA,2022-01-04,manually,without_information,NA,NA,NA,NA
Croatia,NA,0,NA,NA,2022-01-04,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35,NA,NA,NA
Cuba,11749504,0,NA,NA,2022-01-04,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta,NA,NA,NA
Cyprus,NA,0,NA,NA,2022-01-04,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/,NA,NA,NA
Denmark,NA,0,NA,NA,2022-01-04,manually,automated,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts,NA,NA,NA
Dominica,NA,0,NA,NA,2022-01-04,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos,NA,NA,NA
DominicanRepublic,NA,0,NA,NA,2022-01-04,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4,NA,NA,NA
ElSalvador,NA,0,NA,NA,2022-01-04,manually,automated,https://covid19.gob.sv/,NA,NA,NA
Fiji,NA,0,NA,NA,2022-01-04,manually,automated,http://www.health.gov.fj/,NA,NA,NA
Finland,NA,0,NA,NA,2022-01-04,manually,automated,https://thl.fi/fi/web/infektiotaudit-ja-rokotukset/ajankohtaista/ajankohtaista-koronaviruksesta-covid-19/tilannekatsaus-koronaviruksesta,NA,NA,NA
FrenchPolynesia,NA,0,NA,NA,2022-01-04,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation,NA,NA,NA
Georgia,NA,0,NA,NA,2022-01-04,manually,not_yet_automated_daily,https://stopcov.ge/en/,NA,NA,NA
Germany,NA,0,NA,NA,2022-01-04,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html,NA,NA,NA
Grenada,NA,0,NA,NA,2022-01-04,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001,NA,NA,NA
Guyana,NA,0,NA,NA,2022-01-04,manually,image,https://www.health.gov.gy/,NA,NA,NA
Honduras,NA,0,NA,NA,2022-01-04,manually,image,http://www.bvs.hn/COVID-19/,NA,NA,NA
HongKong,NA,0,NA,NA,2022-01-04,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf,NA,NA,NA
Iran,NA,0,NA,NA,2022-01-04,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1,NA,NA,NA
Iraq,NA,0,NA,NA,2022-01-04,manually,image,https://www.facebook.com/MOH.GOV.IQ,NA,NA,NA
Ireland,NA,0,NA,NA,2022-01-04,manually,automated,https://covid19ireland-geohive.hub.arcgis.com/pages/hospitals-icu--testing,NA,NA,NA
Israel,NA,0,NA,NA,2022-01-04,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general,NA,NA,NA
Jamaica,NA,0,NA,NA,2022-01-04,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary,NA,NA,NA
Japan,NA,0,NA,NA,2022-01-04,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html,NA,NA,NA
Jordan,NA,0,NA,NA,2022-01-04,manually,automated,https://corona.moh.gov.jo/ar,NA,NA,NA
Kazakhstan,NA,0,NA,NA,2022-01-04,manually,special_dashboard,https://hls.kz/,NA,NA,NA
Kosovo,NA,0,NA,NA,2022-01-04,manually,facebook,https://datastudio.google.com/embed/u/0/reporting/2e546d77-8f7b-4c35-8502-38533aa0e9e8/page/MT0qB?fbclid=IwAR3bGrIV4hcD6Qe0CXv_f3ukuBKuNLkAacl4yPohGOvD5U_JjVERrnpqwes,NA,NA,NA
Kuwait,NA,0,NA,NA,2022-01-04,manually,twitter,https://twitter.com/KUWAIT_MOH,NA,NA,NA
Kyrgyzstan,NA,0,NA,NA,2022-01-04,manually,image,https://www.instagram.com/daryger_sunushu/,NA,NA,NA
LaoPeoplesDemocraticRepublic,NA,0,NA,NA,2022-01-04,manually,automated,https://www.covid19.gov.la/index.php,NA,NA,NA
Latvia,NA,0,NA,NA,2022-01-04,manually,automated,https://spkc.maps.arcgis.com/apps/opsdashboard/index.html#/4469c1fb01ed43cea6f20743ee7d5939,NA,NA,NA
Luxembourg,NA,0,NA,NA,2022-01-04,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html,NA,NA,NA
Malaysia,NA,0,NA,NA,2022-01-04,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237,NA,NA,NA
Maldives,NA,0,NA,NA,2022-01-04,manually,twitter,https://covid19.health.gov.mv/en/?c=0,NA,NA,NA
Malta,NA,0,NA,NA,2022-01-04,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073,NA,NA,NA
Moldova,NA,0,NA,NA,2022-01-04,manually,not_yet_automated,https://noi.md/md/societate/coronavirus-in-moldova-statistica-infectarilor-pe-teritoriul-tarii-428097,NA,NA,NA
