country,date,cases,deaths,new_cases,new_deaths,last_update
Afghanistan,2020-01-22,0,0,NA,NA,2020-07-01T21:43:55Z
Albania,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Algeria,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Andorra,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Angola,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Argentina,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Armenia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Australia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Austria,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Azerbaijan,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bahamas,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bahrain,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bangladesh,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Barbados,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Belarus,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Belgium,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Belize,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Benin,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bhutan,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bolivia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Botswana,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Brazil,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Brunei,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Bulgaria,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Burma,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Burundi,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Cambodia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Cameroon,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Canada,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Chad,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Chile,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
China,2020-01-22,548,17,548,17,2020-07-01T21:43:55Z
Colombia,2020-01-22,0,0,-548,-17,2020-07-01T21:43:55Z
Comoros,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Croatia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Cuba,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Cyprus,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Czechia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Denmark,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Djibouti,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Dominica,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Ecuador,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Egypt,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Eritrea,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Estonia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Ethiopia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Fiji,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Finland,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
France,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Gabon,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Gambia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Georgia,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Germany,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Ghana,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Greece,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Grenada,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Guatemala,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Guinea,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Guinea-Bissau,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
Guyana,2020-01-22,0,0,0,0,2020-07-01T21:43:55Z
