country,date,cases,deaths,new_cases,new_deaths,last_update
Afghanistan,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Albania,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Algeria,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Andorra,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Angola,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
AntiguaandBarbuda,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Argentina,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Armenia,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Australia,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Austria,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Azerbaijan,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Bahrain,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Bangladesh,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Barbados,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Belarus,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Belgium,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Belize,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Benin,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Bhutan,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Bolivia,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
BosniaandHerzegovina,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Botswana,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Brazil,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Brunei,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Bulgaria,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
BurkinaFaso,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Burma,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Burundi,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Cambodia,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Cameroon,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Canada,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
CapeVerde,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
CentralAfricanRepublic,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Chad,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Chile,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
China,2020-01-22,548,17,NA,NA,2020-09-17T12:04:19Z
Colombia,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Comoros,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
Congo,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
CostaRica,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
CotedIvoire,2020-01-22,0,0,NA,NA,2020-09-17T12:04:19Z
