country,date,tests_cumulative,tests_cumulative_corrected,new_tests_corrected,pcr_tests_cum,rapid_test_cum,pcr_test_new,rapid_test_new,pcr_tests_cum_corrected,rapid_test_cum_corrected,pcr_test_new_corrected,rapid_test_new_corrected,all_pcr_test_cum,all_rapid_test_cum,all_new_tests,all_pcr_test_new,all_rapid_test_new,source,percentage_rapid_daily
Austria,2021-03-23,20846292,20846292,369807,6431566,14414726,49167,320640,6431566,14414726,49167,320640,6431566,14414726,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8670468649863307
Austria,2021-03-24,21147134,21147134,300842,6493316,14653818,61750,239092,6493316,14653818,61750,239092,6493316,14653818,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7947427553333644
Austria,2021-03-25,21565462,21565462,418328,6568554,14996908,75238,343090,6568554,14996908,75238,343090,6568554,14996908,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8201459142108585
Austria,2021-03-26,22051094,22051094,485632,6556772,15494322,-11782,497414,6655897,15395197,87343,398289,6655897,15395197,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8201459142108585
Austria,2021-03-27,22194436,22194436,143342,6333726,15860710,-223046,366388,6681678,15512758,25781,117561,6681678,15512758,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8201459142108585
Austria,2021-03-28,22455472,22455472,261036,6383732,16071740,50006,211030,6731684,15723788,50006,211030,6731684,15723788,NA,NA,NA,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8084325533642869
Austria,2021-03-29,22610260,22610260,154788,6421765,16188495,38033,116755,6769717,15840543,38033,116755,6769717,15840543,304825,55331,249494,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7542897382226013
Austria,2021-03-30,23093306,23093306,483046,6474269,16619037,52504,430542,6822221,16271085,52504,430542,6822221,16271085,321002,55808,265194,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8913064180223002
Austria,2021-03-31,23451521,23451521,358215,6543059,16908462,68790,289425,6891011,16560510,68790,289425,6891011,16560510,329198,56814,272385,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8079644905992212
Austria,2021-04-01,23805240,23805240,353719,6616140,17189100,73081,280638,6964092,16841148,73081,280638,6964092,16841148,319968,56505,263463,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7933924951727218
Austria,2021-04-02,24086423,24086423,281183,6685800,17400623,69660,211523,7033752,17052671,69660,211523,7033752,17052671,290761,53979,236782,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7522609830608536
Austria,2021-04-03,24402915,24402915,316492,6745518,17657397,59718,256774,7093470,17309445,59718,256774,7093470,17309445,315497,58827,256670,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8113127661994616
Austria,2021-04-04,24647471,24647471,244556,6800940,17846531,55422,189134,7148892,17498579,55422,189134,7148892,17498579,313143,59601,253542,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7733770588331507
Austria,2021-04-05,24779805,24779805,132334,6840428,17939377,39488,92846,7188380,17591425,39488,92846,7188380,17591425,309935,59809,250126,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7016035183701845
Austria,2021-04-06,24999349,24999349,219544,6867638,18131711,27210,192334,7215590,17783759,27210,192334,7215590,17783759,272292,56196,216096,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8760612906752178
Austria,2021-04-07,25515997,25515997,516648,6936131,18579866,68493,448155,7284083,18231914,68493,448155,7284083,18231914,294925,56153,238772,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8674281135318437
Austria,2021-04-08,25868498,25868498,352501,7003627,18864871,67496,285005,7351579,18516919,67496,285005,7351579,18516919,294751,55355,239396,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.808522529014102
Austria,2021-04-09,26161838,26161838,293340,7080109,19081729,76482,216858,7428061,18733777,76482,216858,7428061,18733777,296488,56330,240158,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7392718347310289
Austria,2021-04-10,26478234,26478234,316396,7151199,19327035,71090,245306,7499151,18979083,71090,245306,7499151,18979083,296474,57954,238520,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7753132150848936
Austria,2021-04-11,26679075,26679075,200841,7193982,19485093,42783,158058,7541934,19137141,42783,158058,7541934,19137141,290229,56149,234080,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7869807459632246
Austria,2021-04-12,26848583,26848583,169508,7232009,19616574,38027,131481,7579961,19268622,38027,131481,7579961,19268622,295540,55940,239600,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7756625056044553
Austria,2021-04-13,27197861,27197861,349278,7300539,19897322,68530,280748,7648491,19549370,68530,280748,7648491,19549370,314073,61843,252230,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8037952576457721
Austria,2021-04-14,27703138,27703138,505277,7374937,20328201,74398,430879,7722889,19980249,74398,430879,7722889,19980249,312449,62687,249762,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.85275799215084
Austria,2021-04-15,28012081,28012081,308943,7446224,20565857,71287,237656,7794176,20217905,71287,237656,7794176,20217905,306226,63228,242998,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7692551700475492
Austria,2021-04-16,28298620,28298620,286539,7530102,20768518,83878,202661,7878054,20420566,83878,202661,7878054,20420566,305255,64285,240970,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7072719594889352
Austria,2021-04-17,28298620,28298620,0,7530102,20768518,0,0,7878054,20420566,0,0,7878054,20420566,260055,54129,205926,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.7072719594889352
Austria,2021-04-18,28615969,28615969,317349,7650883,21173014,120781,404496,7951025,20664944,72971,244378,7951025,20664944,276699,58442,218258,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.770062271906061
Austria,2021-04-19,29014550,29014550,398581,7687817,21326733,36934,153719,8028240,20986310,77215,321366,8028240,20986310,309424,64040,245384,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,0.8062763240022449
