Entity,Code,Year,WHO region
Afghanistan,AFG,2017,Eastern Mediterranean
Albania,ALB,2017,Europe
Algeria,DZA,2017,Africa
Andorra,AND,2017,Europe
Angola,AGO,2017,Africa
Antigua and Barbuda,ATG,2017,Americas
Argentina,ARG,2017,Americas
Armenia,ARM,2017,Europe
Australia,AUS,2017,Western Pacific
Austria,AUT,2017,Europe
Azerbaijan,AZE,2017,Europe
Bahamas,BHS,2017,Americas
Bahrain,BHR,2017,Eastern Mediterranean
Bangladesh,BGD,2017,South-East Asia
Barbados,BRB,2017,Americas
Belarus,BLR,2017,Europe
Belgium,BEL,2017,Europe
Belize,BLZ,2017,Americas
Benin,BEN,2017,Africa
Bhutan,BTN,2017,South-East Asia
Bolivia,BOL,2017,Americas
Bosnia and Herzegovina,BIH,2017,Europe
Botswana,BWA,2017,Africa
Brazil,BRA,2017,Americas
Brunei,BRN,2017,Western Pacific
Bulgaria,BGR,2017,Europe
Burkina Faso,BFA,2017,Africa
Burundi,BDI,2017,Africa
Cambodia,KHM,2017,Western Pacific
Cameroon,CMR,2017,Africa
Canada,CAN,2017,Americas
Cape Verde,CPV,2017,Africa
Central African Republic,CAF,2017,Africa
Chad,TCD,2017,Africa
Chile,CHL,2017,Americas
China,CHN,2017,Western Pacific
Colombia,COL,2017,Americas
Comoros,COM,2017,Africa
Congo,COG,2017,Africa
Cook Islands,COK,2017,Western Pacific
Costa Rica,CRI,2017,Americas
Cote d'Ivoire,CIV,2017,Africa
Croatia,HRV,2017,Europe
Cuba,CUB,2017,Americas
Cyprus,CYP,2017,Europe
Czechia,CZE,2017,Europe
Democratic Republic of Congo,COD,2017,Africa
Denmark,DNK,2017,Europe
Djibouti,DJI,2017,Eastern Mediterranean
Dominica,DMA,2017,Americas
Dominican Republic,DOM,2017,Americas
Ecuador,ECU,2017,Americas
Egypt,EGY,2017,Eastern Mediterranean
El Salvador,SLV,2017,Americas
Equatorial Guinea,GNQ,2017,Africa
Eritrea,ERI,2017,Africa
Estonia,EST,2017,Europe
Eswatini,SWZ,2017,Africa
Ethiopia,ETH,2017,Africa
Fiji,FJI,2017,Western Pacific
Finland,FIN,2017,Europe
France,FRA,2017,Europe
Gabon,GAB,2017,Africa
Gambia,GMB,2017,Africa
Georgia,GEO,2017,Europe
Germany,DEU,2017,Europe
Ghana,GHA,2017,Africa
Greece,GRC,2017,Europe
Grenada,GRD,2017,Americas
Guatemala,GTM,2017,Americas
Guinea,GIN,2017,Africa
Guinea-Bissau,GNB,2017,Africa
Guyana,GUY,2017,Americas
Haiti,HTI,2017,Americas
Honduras,HND,2017,Americas
Hungary,HUN,2017,Europe
Iceland,ISL,2017,Europe
India,IND,2017,South-East Asia
Indonesia,IDN,2017,South-East Asia
Iran,IRN,2017,Eastern Mediterranean
Iraq,IRQ,2017,Eastern Mediterranean
Ireland,IRL,2017,Europe
Israel,ISR,2017,Europe
Italy,ITA,2017,Europe
Jamaica,JAM,2017,Americas
Japan,JPN,2017,Western Pacific
Jordan,JOR,2017,Eastern Mediterranean
Kazakhstan,KAZ,2017,Europe
Kenya,KEN,2017,Africa
Kiribati,KIR,2017,Western Pacific
Kuwait,KWT,2017,Eastern Mediterranean
Kyrgyzstan,KGZ,2017,Europe
Laos,LAO,2017,Western Pacific
Latvia,LVA,2017,Europe
Lebanon,LBN,2017,Eastern Mediterranean
Lesotho,LSO,2017,Africa
Liberia,LBR,2017,Africa
Libya,LBY,2017,Eastern Mediterranean
Lithuania,LTU,2017,Europe
Luxembourg,LUX,2017,Europe
Madagascar,MDG,2017,Africa
Malawi,MWI,2017,Africa
Malaysia,MYS,2017,Western Pacific
Maldives,MDV,2017,South-East Asia
Mali,MLI,2017,Africa
Malta,MLT,2017,Europe
Marshall Islands,MHL,2017,Western Pacific
Mauritania,MRT,2017,Africa
Mauritius,MUS,2017,Africa
Mexico,MEX,2017,Americas
Micronesia (country),FSM,2017,Western Pacific
Moldova,MDA,2017,Europe
Monaco,MCO,2017,Europe
Mongolia,MNG,2017,Western Pacific
Montenegro,MNE,2017,Europe
Morocco,MAR,2017,Eastern Mediterranean
Mozambique,MOZ,2017,Africa
Myanmar,MMR,2017,South-East Asia
Namibia,NAM,2017,Africa
Nauru,NRU,2017,Western Pacific
Nepal,NPL,2017,South-East Asia
Netherlands,NLD,2017,Europe
New Zealand,NZL,2017,Western Pacific
Nicaragua,NIC,2017,Americas
Niger,NER,2017,Africa
Nigeria,NGA,2017,Africa
Niue,NIU,2017,Western Pacific
North Korea,PRK,2017,South-East Asia
North Macedonia,MKD,2017,Europe
Norway,NOR,2017,Europe
Oman,OMN,2017,Eastern Mediterranean
Pakistan,PAK,2017,Eastern Mediterranean
Palau,PLW,2017,Western Pacific
Panama,PAN,2017,Americas
Papua New Guinea,PNG,2017,Western Pacific
Paraguay,PRY,2017,Americas
Peru,PER,2017,Americas
Philippines,PHL,2017,Western Pacific
Poland,POL,2017,Europe
Portugal,PRT,2017,Europe
Qatar,QAT,2017,Eastern Mediterranean
Romania,ROU,2017,Europe
Russia,RUS,2017,Europe
Rwanda,RWA,2017,Africa
Saint Kitts and Nevis,KNA,2017,Americas
Saint Lucia,LCA,2017,Americas
