Country,ISO,Income,SuppliedTests
Andorra,ASM,High,
United Arab Emirates,ARE,High,939625
Afghanistan,AFG,Low,460351
Antigua and Barbuda,ATG,High,4600
Albania,ALB,Upper middle,209900
Armenia,ARM,Upper middle,83500
Angola,AGO,Lower middle,288646
Argentina,ARG,Upper middle,4552000
Austria,AUT,High,
Australia,AUS,High,
Azerbaijan,AZE,Upper middle,51200
Bosnia & Herzegovina,BIH,Upper middle,55494
Barbados,BRB,High,7600
Bangladesh,BGD,Lower middle,1943016
Belgium,BEL,High,
Burkina Faso,BFA,Low,694235
Bulgaria,BGR,Upper middle,4000
Bahrain,BHR,High,
Burundi,BDI,Low,101860
Benin,BEN,Lower middle,104282
Brunei,BRN,High,
Bolivia,BOL,Lower middle,800568
Brazil,BRA,Upper middle,13211500
Bahamas,BHS,High,2010
Bhutan,BTN,Lower middle,10480
Botswana,BWA,Upper middle,41666
Belarus,BLR,Upper middle,91890
Belize,BLZ,Upper middle,24918
Canada,CAN,High,
Democratic Republic of the Congo,COD,Low,1104523
Central African Republic,CAF,Low,334790
"Congo, Rep.",COG,Lower middle,424748
Switzerland,CHE,High,97050
Cote d'Ivoire,CIV,Lower middle,27850
Chile,CHL,High,
Cameroon,CMR,Lower middle,1137733
China,CHN,Upper middle,
Colombia,COL,Upper middle,64000
Costa Rica,CRI,Upper middle,287960
Cuba,CUB,Upper middle,60912
Cape Verde,CPV,Lower middle,
Cyprus,CYP,High,8064
Czechia,CZE,High,
Germany,DEU,High,5150
Djibouti,DJI,Lower middle,58550
Denmark,DNK,High,400
Dominica,DMA,Upper middle,
Dominican Republic,DOM,Upper middle,2280830
Algeria,DZA,Lower middle,587304
Ecuador,ECU,Upper middle,288950
Estonia,EST,High,
Egypt,EGY,Lower middle,67640
Eritrea,ERI,Low,10200
Spain,ESP,High,50
Ethiopia,ETH,Low,3287000
Finland,FIN,High,
Fiji,FJI,Upper middle,500638
France,FRA,High,784
Gabon,GAB,Upper middle,101350
United Kingdom,GBR,High,500
Grenada,GRD,Upper middle,
Georgia,GEO,Upper middle,211180
Ghana,GHA,Lower middle,522042
Gambia,GMB,Low,151940
Guinea,GIN,Low,521046
Equatorial Guinea,GNQ,Upper middle,5450
Greece,GRC,High,
Guatemala,GTM,Upper middle,550370
Guinea-Bissau,GNB,Low,25000
Guyana,GUY,Upper middle,130300
Honduras,HND,Lower middle,318440
Croatia,HRV,High,22000
Haiti,HTI,Low,76304
Hungary,HUN,High,
Indonesia,IDN,Upper middle,1266150
Ireland,IRL,High,
Israel,ISR,High,500
India,IND,Lower middle,1853350
Iraq,IRQ,Upper middle,335513
Iran,IRN,Lower middle,216768
