country,date,tests_cumulative
Andorra,2021-02-19,152578
Andorra,2021-02-20,152578
Andorra,2021-02-21,152578
Andorra,2021-02-22,154962
Andorra,2021-02-23,154962
Andorra,2021-02-24,154962
Andorra,2021-02-25,154962
Andorra,2021-02-26,154962
Andorra,2021-02-27,154962
Andorra,2021-02-28,154962
Andorra,2021-03-01,157356
Andorra,2021-03-02,157356
Andorra,2021-03-03,157356
Andorra,2021-03-04,157356
Andorra,2021-03-05,157356
Andorra,2021-03-06,157356
Andorra,2021-03-07,157356
Andorra,2021-03-08,159725
Andorra,2021-03-09,159725
Andorra,2021-03-10,159725
Andorra,2021-03-11,159725
Andorra,2021-03-12,159725
Andorra,2021-03-13,159725
Andorra,2021-03-14,159725
Andorra,2021-03-15,162071
Andorra,2021-03-16,162071
Andorra,2021-03-17,162071
Andorra,2021-03-18,162071
Andorra,2021-03-19,162071
Andorra,2021-03-20,162071
Andorra,2021-03-21,162071
Andorra,2021-03-22,164665
Andorra,2021-03-23,164665
Andorra,2021-03-24,164665
Andorra,2021-03-25,164665
Andorra,2021-03-26,164665
Andorra,2021-03-27,164665
Andorra,2021-03-28,164665
Andorra,2021-03-29,168244
Andorra,2021-03-30,168244
Andorra,2021-03-31,168244
Andorra,2021-04-01,168244
Andorra,2021-04-02,168244
Andorra,2021-04-03,168244
Andorra,2021-04-04,168244
Andorra,2021-04-05,171485
Andorra,2021-04-06,171485
Andorra,2021-04-07,171485
Andorra,2021-04-08,171485
Andorra,2021-04-09,171485
Andorra,2021-04-10,171485
Andorra,2021-04-11,171485
Andorra,2021-04-12,173789
Andorra,2021-04-13,173789
Andorra,2021-04-14,173789
Andorra,2021-04-15,173789
Andorra,2021-04-16,173789
Andorra,2021-04-17,173789
Andorra,2021-04-18,173789
Andorra,2021-04-19,177079
Andorra,2021-04-20,177079
Andorra,2021-04-21,177079
Andorra,2021-04-22,177079
Andorra,2021-04-23,177079
Andorra,2021-04-24,177079
Andorra,2021-04-25,177079
Andorra,2021-04-26,180633
Andorra,2021-04-27,180633
Andorra,2021-04-28,180633
Andorra,2021-04-29,180633
Andorra,2021-04-30,180633
Andorra,2021-05-01,180633
Andorra,2021-05-02,180633
Andorra,2021-05-03,183476
Andorra,2021-05-04,183476
Andorra,2021-05-05,183476
Andorra,2021-05-06,183476
Andorra,2021-05-07,183476
Andorra,2021-05-08,183476
Andorra,2021-05-09,183476
Andorra,2021-05-10,186191
Andorra,2021-05-11,186191
Andorra,2021-05-12,186191
Andorra,2021-05-13,186191
Andorra,2021-05-14,186191
Andorra,2021-05-15,186191
Andorra,2021-05-16,186191
Andorra,2021-05-17,188280
Andorra,2021-05-18,188280
Andorra,2021-05-19,188280
Andorra,2021-05-20,188280
Andorra,2021-05-21,188280
Andorra,2021-05-22,188280
Andorra,2021-05-23,188280
Andorra,2021-05-24,190469
Andorra,2021-05-25,190469
Andorra,2021-05-26,190469
Andorra,2021-05-27,190469
Andorra,2021-05-28,190469
Andorra,2021-05-29,190469
Andorra,2021-05-30,190469
Andorra,2021-05-31,191856
Andorra,2021-06-01,191856
Andorra,2021-06-02,191856
Andorra,2021-06-03,191856
Andorra,2021-06-04,191856
Andorra,2021-06-05,191856
Andorra,2021-06-06,191856
Andorra,2021-06-07,193594
Andorra,2021-06-08,193594
Andorra,2021-06-09,193594
Andorra,2021-06-10,193594
Andorra,2021-06-11,193594
Andorra,2021-06-12,193594
Andorra,2021-06-13,194606
Andorra,2021-06-14,194606
Andorra,2021-06-15,194606
Andorra,2021-06-16,194606
Andorra,2021-06-17,194606
Andorra,2021-06-18,194606
Andorra,2021-06-19,194606
Andorra,2021-06-20,194606
Andorra,2021-06-21,195713
Andorra,2021-06-22,195713
Andorra,2021-06-23,195713
Andorra,2021-06-24,195713
Andorra,2021-06-25,195713
Andorra,2021-06-26,195713
Andorra,2021-06-27,195713
Andorra,2021-06-28,196782
Andorra,2021-06-29,196782
Andorra,2021-06-30,196782
Andorra,2021-07-01,196782
Andorra,2021-07-02,196782
Andorra,2021-07-03,196782
Andorra,2021-07-04,196782
Andorra,2021-07-05,198055
Andorra,2021-07-06,198055
Andorra,2021-07-07,198055
