country,date,tests_cumulative
Andorra,2021-01-21,134259
Andorra,2021-01-22,134259
Andorra,2021-01-23,134259
Andorra,2021-01-24,134259
Andorra,2021-01-25,140701
Andorra,2021-01-26,140701
Andorra,2021-01-27,140701
Andorra,2021-01-28,140701
Andorra,2021-01-29,140701
Andorra,2021-01-30,140701
Andorra,2021-01-31,140701
Andorra,2021-02-01,144933
Andorra,2021-02-02,144933
Andorra,2021-02-03,144933
Andorra,2021-02-04,144933
Andorra,2021-02-05,144933
Andorra,2021-02-06,144933
Andorra,2021-02-07,144933
Andorra,2021-02-08,148604
Andorra,2021-02-09,148604
Andorra,2021-02-10,148604
Andorra,2021-02-11,148604
Andorra,2021-02-12,148604
Andorra,2021-02-13,148604
Andorra,2021-02-14,148604
Andorra,2021-02-15,152578
Andorra,2021-02-16,152578
Andorra,2021-02-17,152578
Andorra,2021-02-18,152578
