country,date,tests_cumulative
Bulgaria,2021-09-24,4679511
Bulgaria,2021-09-25,4703774
Bulgaria,2021-09-26,4714649
Bulgaria,2021-09-27,4720651
Bulgaria,2021-09-28,4744679
Bulgaria,2021-09-29,4767010
Bulgaria,2021-09-30,4786244
Bulgaria,2021-10-01,4807320
Bulgaria,2021-10-02,4829659
Bulgaria,2021-10-03,4841163
Bulgaria,2021-10-04,4845765
Bulgaria,2021-10-05,4866482
Bulgaria,2021-10-06,4891646
Bulgaria,2021-10-07,4910016
Bulgaria,2021-10-08,4928818
Bulgaria,2021-10-09,4950589
Bulgaria,2021-10-10,4961010
Bulgaria,2021-10-11,4966746
Bulgaria,2021-10-12,4990220
Bulgaria,2021-10-13,5008197
Bulgaria,2021-10-14,5027251
Bulgaria,2021-10-15,5045972
Bulgaria,2021-10-16,5070696
Bulgaria,2021-10-17,5082506
Bulgaria,2021-10-18,5088188
Bulgaria,2021-10-19,5114963
Bulgaria,2021-10-20,5137221
Bulgaria,2021-10-21,5162258
Bulgaria,2021-10-22,5209624
Bulgaria,2021-10-23,5240388
Bulgaria,2021-10-24,5265709
Bulgaria,2021-10-25,5276260
Bulgaria,2021-10-26,5327945
Bulgaria,2021-10-27,5378292
Bulgaria,2021-10-28,5419897
Bulgaria,2021-10-29,5469185
Bulgaria,2021-10-30,5522475
Bulgaria,2021-10-31,5555058
Bulgaria,2021-11-01,5572026
Bulgaria,2021-11-02,5621877
Bulgaria,2021-11-03,5666674
Bulgaria,2021-11-04,5706625
Bulgaria,2021-11-05,5745950
Bulgaria,2021-11-06,5786033
Bulgaria,2021-11-07,5832420
Bulgaria,2021-11-08,5849046
Bulgaria,2021-11-09,5897181
Bulgaria,2021-11-10,5933719
Bulgaria,2021-11-11,5972948
Bulgaria,2021-11-12,6005759
Bulgaria,2021-11-13,6047128
Bulgaria,2021-11-14,6070414
Bulgaria,2021-11-15,6084618
Bulgaria,2021-11-16,6116666
Bulgaria,2021-11-17,6157900
Bulgaria,2021-11-18,6189578
Bulgaria,2021-11-19,6220894
Bulgaria,2021-11-20,6265192
Bulgaria,2021-11-21,6287743
Bulgaria,2021-11-22,6301679
Bulgaria,2021-11-23,6339272
Bulgaria,2021-11-24,6373056
Bulgaria,2021-11-25,6402544
Bulgaria,2021-11-26,6433278
Bulgaria,2021-11-27,6473905
Bulgaria,2021-11-28,6498924
Bulgaria,2021-11-29,6513142
Bulgaria,2021-11-30,6549700
Bulgaria,2021-12-01,6576558
Bulgaria,2021-12-02,6604490
Bulgaria,2021-12-03,6632158
Bulgaria,2021-12-04,6668930
Bulgaria,2021-12-05,6688246
Bulgaria,2021-12-06,6704606
Bulgaria,2021-12-07,6739603
Bulgaria,2021-12-08,6767295
Bulgaria,2021-12-09,6792182
Bulgaria,2021-12-10,6828318
Bulgaria,2021-12-11,6866448
Bulgaria,2021-12-12,6893275
Bulgaria,2021-12-13,6906046
Bulgaria,2021-12-14,6933195
Bulgaria,2021-12-15,6962003
Bulgaria,2021-12-16,6995262
Bulgaria,2021-12-17,7031088
Bulgaria,2021-12-18,7077012
Bulgaria,2021-12-19,7103756
Bulgaria,2021-12-20,7119393
Bulgaria,2021-12-21,7156089
Bulgaria,2021-12-22,7191897
Bulgaria,2021-12-23,7217894
Bulgaria,2021-12-24,7252489
Bulgaria,2021-12-25,7276831
Bulgaria,2021-12-26,7288944
Bulgaria,2021-12-27,7304397
Bulgaria,2021-12-28,7326998
Bulgaria,2021-12-29,7349619
Bulgaria,2021-12-30,7386068
Bulgaria,2021-12-31,7419396
Bulgaria,2022-01-01,7450348
Bulgaria,2022-01-02,7457776
