country,date,tests_cumulative
CostaRica,2021-09-06,2136200
CostaRica,2021-09-07,2146135
CostaRica,2021-09-08,2156767
CostaRica,2021-09-09,2167332
CostaRica,2021-09-10,2182674
CostaRica,2021-09-11,2195618
CostaRica,2021-09-12,2204684
CostaRica,2021-09-13,2210131
CostaRica,2021-09-14,2214843
CostaRica,2021-09-15,2224823
CostaRica,2021-09-16,2234168
CostaRica,2021-09-17,2244069
CostaRica,2021-09-18,2253501
CostaRica,2021-09-19,2261382
CostaRica,2021-09-20,2266808
CostaRica,2021-09-21,2275909
CostaRica,2021-09-22,2285685
CostaRica,2021-09-23,2295588
CostaRica,2021-09-24,2306913
CostaRica,2021-09-25,2316578
CostaRica,2021-09-26,2324389
CostaRica,2021-09-27,2330237
CostaRica,2021-09-28,2339240
CostaRica,2021-09-29,2349565
CostaRica,2021-09-30,2360345
CostaRica,2021-10-01,2371303
CostaRica,2021-10-02,2381189
CostaRica,2021-10-03,2388477
CostaRica,2021-10-04,2394098
CostaRica,2021-10-05,2402780
CostaRica,2021-10-06,2413100
CostaRica,2021-10-07,2423294
CostaRica,2021-10-08,2433788
CostaRica,2021-10-09,2443378
CostaRica,2021-10-10,2450605
CostaRica,2021-10-11,2455025
CostaRica,2021-10-12,2463337
CostaRica,2021-10-13,2471064
CostaRica,2021-10-14,2480606
CostaRica,2021-10-15,2490611
CostaRica,2021-10-16,2499610
CostaRica,2021-10-17,2506459
CostaRica,2021-10-18,2510592
CostaRica,2021-10-19,2517453
CostaRica,2021-10-20,2524241
CostaRica,2021-10-21,2529089
CostaRica,2021-10-22,2533567
CostaRica,2021-10-23,2537477
CostaRica,2021-10-24,2540802
CostaRica,2021-10-25,2544016
CostaRica,2021-10-26,2548323
CostaRica,2021-10-27,2553247
CostaRica,2021-10-28,2558065
CostaRica,2021-10-29,2562955
CostaRica,2021-10-30,2567164
CostaRica,2021-10-31,2569372
CostaRica,2021-11-01,2571511
CostaRica,2021-11-02,2575363
CostaRica,2021-11-03,2583782
CostaRica,2021-11-04,2591789
CostaRica,2021-11-05,2601581
CostaRica,2021-11-06,2610022
CostaRica,2021-11-07,2615475
CostaRica,2021-11-08,2619709
CostaRica,2021-11-09,2627856
CostaRica,2021-11-10,2636693
CostaRica,2021-11-11,2645617
CostaRica,2021-11-12,2653735
CostaRica,2021-11-13,2662710
CostaRica,2021-11-14,2669752
CostaRica,2021-11-15,2674625
CostaRica,2021-11-16,2683299
CostaRica,2021-11-17,2692162
CostaRica,2021-11-18,2699913
CostaRica,2021-11-19,2703794
CostaRica,2021-11-20,2707578
CostaRica,2021-11-21,2714071
CostaRica,2021-11-22,2718219
CostaRica,2021-11-23,2726558
CostaRica,2021-11-24,2732109
CostaRica,2021-11-25,2740903
CostaRica,2021-11-26,2750106
CostaRica,2021-11-27,2759635
CostaRica,2021-11-28,2766712
CostaRica,2021-11-29,2771517
CostaRica,2021-11-30,2777289
CostaRica,2021-12-01,2786012
CostaRica,2021-12-02,2795403
CostaRica,2021-12-03,2802462
CostaRica,2021-12-04,2810854
CostaRica,2021-12-05,2817372
CostaRica,2021-12-06,2822640
CostaRica,2021-12-07,2832468
CostaRica,2021-12-08,2840977
CostaRica,2021-12-09,2848097
CostaRica,2021-12-10,2854715
CostaRica,2021-12-11,2862463
CostaRica,2021-12-12,2869779
CostaRica,2021-12-13,2875720
CostaRica,2021-12-14,2882174
CostaRica,2021-12-15,2888305
CostaRica,2021-12-16,2895674
CostaRica,2021-12-17,2900206
CostaRica,2021-12-18,2904257
CostaRica,2021-12-19,2906934
CostaRica,2021-12-20,2915175
CostaRica,2021-12-21,2923602
CostaRica,2021-12-22,2933177
CostaRica,2021-12-23,2941145
CostaRica,2021-12-24,2944735
CostaRica,2021-12-25,2948295
CostaRica,2021-12-26,2953500
CostaRica,2021-12-27,2960484
CostaRica,2021-12-28,2966148
CostaRica,2021-12-29,2971263
CostaRica,2021-12-30,2979556
CostaRica,2021-12-31,2989957
CostaRica,2022-01-01,2998741
CostaRica,2022-01-02,3004438
CostaRica,2022-01-03,3010093
CostaRica,2022-01-04,3021139
CostaRica,2022-01-05,3034307
CostaRica,2022-01-06,3047098
CostaRica,2022-01-07,3057130
CostaRica,2022-01-08,3071007
CostaRica,2022-01-09,3082493
CostaRica,2022-01-10,3092156
CostaRica,2022-01-11,3105720
CostaRica,2022-01-12,3139886
CostaRica,2022-01-13,3158085
CostaRica,2022-01-14,3176075
CostaRica,2022-01-15,3194338
CostaRica,2022-01-16,3208487
CostaRica,2022-01-17,3218486
CostaRica,2022-01-18,3232190
CostaRica,2022-01-19,3244147
