country,date,tests_cumulative
Iceland,2020-02-28,13
Iceland,2020-02-29,45
Iceland,2020-03-01,67
Iceland,2020-03-02,115
Iceland,2020-03-03,160
Iceland,2020-03-04,241
Iceland,2020-03-05,303
Iceland,2020-03-06,360
Iceland,2020-03-07,418
Iceland,2020-03-08,455
Iceland,2020-03-09,553
Iceland,2020-03-10,722
Iceland,2020-03-11,871
Iceland,2020-03-12,1124
Iceland,2020-03-13,1481
Iceland,2020-03-14,1804
Iceland,2020-03-15,1923
Iceland,2020-03-16,2214
Iceland,2020-03-17,2759
Iceland,2020-03-18,3179
Iceland,2020-03-19,3635
Iceland,2020-03-20,4133
Iceland,2020-03-21,4453
Iceland,2020-03-22,4636
Iceland,2020-03-23,4993
Iceland,2020-03-24,5500
Iceland,2020-03-25,5961
Iceland,2020-03-26,6353
Iceland,2020-03-27,6857
Iceland,2020-03-28,7216
Iceland,2020-03-29,7726
Iceland,2020-03-30,8236
Iceland,2020-03-31,9051
Iceland,2020-04-01,9648
Iceland,2020-04-02,9983
Iceland,2020-04-03,10366
Iceland,2020-04-04,10940
Iceland,2020-04-05,11807
Iceland,2020-04-06,12042
Iceland,2020-04-07,12713
Iceland,2020-04-08,13374
Iceland,2020-04-09,13935
Iceland,2020-04-10,14203
Iceland,2020-04-11,14422
Iceland,2020-04-12,14650
Iceland,2020-04-13,14811
Iceland,2020-04-14,14988
Iceland,2020-04-15,15324
Iceland,2020-04-16,15684
Iceland,2020-04-17,15976
Iceland,2020-04-18,16222
Iceland,2020-04-19,16318
Iceland,2020-04-20,16431
Iceland,2020-04-21,16671
Iceland,2020-04-22,16865
Iceland,2020-04-23,17043
Iceland,2020-04-24,17120
Iceland,2020-04-25,17319
Iceland,2020-04-26,17344
Iceland,2020-04-27,17573
Iceland,2020-04-28,17682
Iceland,2020-04-29,17824
Iceland,2020-04-30,18035
Iceland,2020-05-01,18069
Iceland,2020-05-02,18104
Iceland,2020-05-03,18175
Iceland,2020-05-04,18294
Iceland,2020-05-05,18334
Iceland,2020-05-06,18586
Iceland,2020-05-07,18681
Iceland,2020-05-08,18855
Iceland,2020-05-09,18918
