country,date,tests_cumulative
Israel,2021-02-19,9925207
Israel,2021-02-20,9925207
Israel,2021-02-21,9925207
Israel,2021-02-22,9925207
Israel,2021-02-23,9925207
Israel,2021-02-24,9925207
Israel,2021-02-25,9966004
Israel,2021-02-26,10030795
Israel,2021-02-27,10054822
Israel,2021-02-28,10108260
Israel,2021-03-01,10195600
Israel,2021-03-02,10284822
Israel,2021-03-03,10377152
Israel,2021-03-04,10465935
Israel,2021-03-05,10565492
Israel,2021-03-06,10605969
Israel,2021-03-07,10667257
Israel,2021-03-08,10760771
Israel,2021-03-09,10849884
Israel,2021-03-10,10942623
Israel,2021-03-11,11023201
Israel,2021-03-12,11105650
Israel,2021-03-13,11132352
Israel,2021-03-14,11187371
Israel,2021-03-15,11268867
Israel,2021-03-16,11337633
Israel,2021-03-17,11411055
Israel,2021-03-18,11471851
Israel,2021-03-19,11531518
Israel,2021-03-20,11550355
Israel,2021-03-21,11595647
Israel,2021-03-22,11652673
Israel,2021-03-23,11692050
Israel,2021-03-24,11734299
Israel,2021-03-25,11796216
Israel,2021-03-26,11843242
Israel,2021-03-27,11859826
Israel,2021-03-28,11871078
Israel,2021-03-29,11910824
Israel,2021-03-30,11951692
Israel,2021-03-31,11988969
Israel,2021-04-01,12022319
Israel,2021-04-02,12055085
Israel,2021-04-03,12066944
Israel,2021-04-04,12097928
Israel,2021-04-05,12147463
Israel,2021-04-06,12198729
Israel,2021-04-07,12245112
Israel,2021-04-08,12282488
Israel,2021-04-09,12317856
Israel,2021-04-10,12328817
Israel,2021-04-11,12362036
Israel,2021-04-12,12412143
Israel,2021-04-13,12474392
Israel,2021-04-14,12525232
Israel,2021-04-15,12539173
Israel,2021-04-16,12569371
Israel,2021-04-17,12580361
Israel,2021-04-18,12613946
Israel,2021-04-19,12659498
Israel,2021-04-20,12705354
Israel,2021-04-21,12746227
Israel,2021-04-22,12777550
Israel,2021-04-23,12812460
Israel,2021-04-24,12821131
Israel,2021-04-25,12849188
Israel,2021-04-26,12884957
Israel,2021-04-27,12915968
Israel,2021-04-28,12950689
Israel,2021-04-29,12982177
Israel,2021-04-30,13017385
Israel,2021-05-01,13026480
Israel,2021-05-02,13051845
Israel,2021-05-03,13085307
Israel,2021-05-04,13118958
Israel,2021-05-05,13153673
Israel,2021-05-06,13182039
Israel,2021-05-07,13214778
Israel,2021-05-08,13225115
Israel,2021-05-09,13248514
Israel,2021-05-10,13283832
Israel,2021-05-11,13315204
Israel,2021-05-12,13343718
Israel,2021-05-13,13364537
Israel,2021-05-14,13384680
Israel,2021-05-15,13390158
Israel,2021-05-16,13404853
Israel,2021-05-17,13413529
Israel,2021-05-18,13437217
Israel,2021-05-19,13465506
Israel,2021-05-20,13487438
Israel,2021-05-21,13514275
Israel,2021-05-22,13521164
Israel,2021-05-23,13539447
Israel,2021-05-24,13571594
Israel,2021-05-25,13598194
Israel,2021-05-26,13624049
Israel,2021-05-27,13651701
Israel,2021-05-28,13683447
Israel,2021-05-29,13692765
Israel,2021-05-30,13712473
Israel,2021-05-31,13737878
Israel,2021-06-01,13759597
Israel,2021-06-02,13776792
Israel,2021-06-03,13792538
Israel,2021-06-04,13810473
Israel,2021-06-05,13817784
Israel,2021-06-06,13833769
Israel,2021-06-07,13856727
Israel,2021-06-08,13877909
Israel,2021-06-09,13894825
Israel,2021-06-10,13912452
Israel,2021-06-11,13929902
Israel,2021-06-12,13940319
Israel,2021-06-13,13958839
Israel,2021-06-14,13985137
Israel,2021-06-15,14007556
Israel,2021-06-16,14025932
Israel,2021-06-17,14042462
Israel,2021-06-18,14062713
Israel,2021-06-19,14075345
Israel,2021-06-20,14099965
Israel,2021-06-21,14132309
Israel,2021-06-22,14163189
Israel,2021-06-23,14192828
Israel,2021-06-24,14222666
Israel,2021-06-25,14262365
Israel,2021-06-26,14284182
Israel,2021-06-27,14314535
Israel,2021-06-28,14362153
Israel,2021-06-29,14408957
Israel,2021-06-30,14452556
Israel,2021-07-01,14497064
Israel,2021-07-02,14546714
Israel,2021-07-03,14573812
Israel,2021-07-04,14610237
Israel,2021-07-05,14663930
Israel,2021-07-06,14724538
Israel,2021-07-07,14779284
Israel,2021-07-08,14831294
Israel,2021-07-09,14892694
Israel,2021-07-10,14927191
Israel,2021-07-11,14969547
Israel,2021-07-12,15031542
Israel,2021-07-13,15093623
Israel,2021-07-14,15156533
Israel,2021-07-15,15221972
Israel,2021-07-16,15303607
Israel,2021-07-17,15336496
Israel,2021-07-18,15392943
Israel,2021-07-19,15476961
Israel,2021-07-20,15567295
Israel,2021-07-21,15652982
Israel,2021-07-22,15731558
Israel,2021-07-23,15829504
Israel,2021-07-24,15889976
Israel,2021-07-25,15966698
Israel,2021-07-26,16069254
Israel,2021-07-27,16174991
Israel,2021-07-28,16277493
Israel,2021-07-29,16379194
Israel,2021-07-30,16489944
Israel,2021-07-31,16563493
Israel,2021-08-01,16643843
Israel,2021-08-02,16758897
Israel,2021-08-03,16869130
Israel,2021-08-04,16986643
Israel,2021-08-05,17102217
Israel,2021-08-06,17217508
Israel,2021-08-07,17301059
Israel,2021-08-08,17405673
Israel,2021-08-09,17554903
Israel,2021-08-10,17696853
Israel,2021-08-11,17848051
Israel,2021-08-12,18023299
Israel,2021-08-13,18164668
Israel,2021-08-14,18256093
Israel,2021-08-15,18365007
Israel,2021-08-16,18531502
Israel,2021-08-17,18700184
Israel,2021-08-18,18899413
Israel,2021-08-19,19197253
Israel,2021-08-20,19611955
Israel,2021-08-21,19730575
Israel,2021-08-22,19888845
Israel,2021-08-23,20102226
Israel,2021-08-24,20313067
Israel,2021-08-25,20520870
Israel,2021-08-26,20722642
Israel,2021-08-27,20903904
Israel,2021-08-28,21024896
Israel,2021-08-29,21176027
Israel,2021-08-30,21376734
Israel,2021-08-31,21596083
Israel,2021-09-01,21763933
Israel,2021-09-02,21926929
Israel,2021-09-03,22105404
Israel,2021-09-04,22223624
Israel,2021-09-05,22378076
Israel,2021-09-06,22609583
Israel,2021-09-07,22726202
Israel,2021-09-08,22819445
Israel,2021-09-09,22983367
Israel,2021-09-10,23190766
Israel,2021-09-11,23381621
Israel,2021-09-12,23558289
Israel,2021-09-13,23761103
Israel,2021-09-14,23951024
Israel,2021-09-15,24120224
Israel,2021-09-16,24175342
Israel,2021-09-17,24295222
Israel,2021-09-18,24456356
Israel,2021-09-19,24606536
Israel,2021-09-20,24808175
Israel,2021-09-21,24932645
Israel,2021-09-22,25082437
Israel,2021-09-23,25248197
Israel,2021-09-24,25391848
Israel,2021-09-25,25483520
Israel,2021-09-26,25613919
Israel,2021-09-27,25778445
Israel,2021-09-28,25871461
Israel,2021-09-29,26007791
Israel,2021-09-30,26138456
Israel,2021-10-01,26269820
Israel,2021-10-02,26353236
Israel,2021-10-03,26467100
Israel,2021-10-04,26603436
Israel,2021-10-05,26731255
Israel,2021-10-06,26854622
Israel,2021-10-07,26973639
Israel,2021-10-08,27092775
Israel,2021-10-09,27163648
Israel,2021-10-10,27259335
Israel,2021-10-11,27391344
Israel,2021-10-12,27513644
Israel,2021-10-13,27630897
Israel,2021-10-14,27740177
Israel,2021-10-15,27855857
Israel,2021-10-16,27920860
Israel,2021-10-17,28022803
Israel,2021-10-18,28146088
Israel,2021-10-19,28251352
Israel,2021-10-20,28366591
Israel,2021-10-21,28473005
Israel,2021-10-22,28583588
Israel,2021-10-23,28638806
Israel,2021-10-24,28737726
Israel,2021-10-25,28856419
Israel,2021-10-26,28958670
Israel,2021-10-27,29058156
Israel,2021-10-28,29149298
Israel,2021-10-29,29244194
Israel,2021-10-30,29298021
Israel,2021-10-31,29392773
Israel,2021-11-01,29497942
Israel,2021-11-02,29588441
Israel,2021-11-03,29683401
Israel,2021-11-04,29768403
Israel,2021-11-05,29857417
Israel,2021-11-06,29904642
Israel,2021-11-07,30001859
Israel,2021-11-08,30102554
Israel,2021-11-09,30196863
Israel,2021-11-10,30287364
Israel,2021-11-11,30372046
Israel,2021-11-12,30460834
Israel,2021-11-13,30511765
Israel,2021-11-14,30601489
Israel,2021-11-15,30702631
Israel,2021-11-16,30796712
Israel,2021-11-17,30880936
Israel,2021-11-18,30963927
Israel,2021-11-19,31058900
Israel,2021-11-20,31107533
Israel,2021-11-21,31201347
Israel,2021-11-22,31310456
Israel,2021-11-23,31410638
Israel,2021-11-24,31505749
Israel,2021-11-25,31605032
Israel,2021-11-26,31703273
Israel,2021-11-27,31762688
Israel,2021-11-28,31872696
Israel,2021-11-29,32022097
Israel,2021-11-30,32173601
Israel,2021-12-01,32332594
Israel,2021-12-02,32491650
Israel,2021-12-03,32623460
Israel,2021-12-04,32713692
Israel,2021-12-05,32869529
Israel,2021-12-06,33029390
Israel,2021-12-07,33160492
Israel,2021-12-08,33281466
Israel,2021-12-09,33399113
Israel,2021-12-10,33508054
Israel,2021-12-11,33570738
Israel,2021-12-12,33678773
Israel,2021-12-13,33801704
Israel,2021-12-14,33922621
Israel,2021-12-15,34044205
Israel,2021-12-16,34168671
Israel,2021-12-17,34291351
Israel,2021-12-18,34365667
Israel,2021-12-19,34487989
Israel,2021-12-20,34615360
Israel,2021-12-21,34738858
Israel,2021-12-22,34864518
Israel,2021-12-23,35008599
Israel,2021-12-24,35142586
Israel,2021-12-25,35212912
Israel,2021-12-26,35347895
Israel,2021-12-27,35515077
Israel,2021-12-28,35686812
Israel,2021-12-29,35862857
Israel,2021-12-30,36082418
Israel,2021-12-31,36273093
Israel,2022-01-01,36416295
Israel,2022-01-02,36642381
Israel,2022-01-03,36938771
Israel,2022-01-04,37238057
Israel,2022-01-05,37568850
Israel,2022-01-06,37888882
Israel,2022-01-07,38192202
Israel,2022-01-08,38469708
Israel,2022-01-09,38840128
Israel,2022-01-10,39246545
Israel,2022-01-11,39665650
Israel,2022-01-12,40102976
Israel,2022-01-13,40534865
Israel,2022-01-14,40876603
Israel,2022-01-15,41204750
Israel,2022-01-16,41649730
Israel,2022-01-17,42105767
Israel,2022-01-18,42564533
Israel,2022-01-19,42999347
Israel,2022-01-20,43407243
Israel,2022-01-21,43767281
Israel,2022-01-22,44138544
Israel,2022-01-23,44553691
