country,date,tests_cumulative
Latvia,2021-09-07,3683325
Latvia,2021-09-08,3735905
Latvia,2021-09-09,3778354
Latvia,2021-09-10,3822472
Latvia,2021-09-11,3863451
Latvia,2021-09-12,3873888
Latvia,2021-09-13,3888493
Latvia,2021-09-14,3931699
Latvia,2021-09-15,3976116
Latvia,2021-09-16,4009031
Latvia,2021-09-17,4044139
Latvia,2021-09-18,4078289
Latvia,2021-09-19,4091583
Latvia,2021-09-20,4096368
Latvia,2021-09-21,4120886
Latvia,2021-09-22,4148102
Latvia,2021-09-23,4174833
Latvia,2021-09-24,4200515
Latvia,2021-09-25,4231102
Latvia,2021-09-26,4244214
Latvia,2021-09-27,4249027
Latvia,2021-09-28,4274929
Latvia,2021-09-29,4303329
Latvia,2021-09-30,4331771
Latvia,2021-10-01,4357231
Latvia,2021-10-02,4377887
Latvia,2021-10-03,4386962
Latvia,2021-10-04,4392204
Latvia,2021-10-05,4407586
Latvia,2021-10-06,4429411
Latvia,2021-10-07,4449340
Latvia,2021-10-08,4467734
Latvia,2021-10-09,4485585
Latvia,2021-10-10,4500191
Latvia,2021-10-11,4508038
Latvia,2021-10-12,4523668
Latvia,2021-10-13,4545399
Latvia,2021-10-14,4566903
Latvia,2021-10-15,4586953
Latvia,2021-10-16,4610769
Latvia,2021-10-17,4626740
Latvia,2021-10-18,4635105
Latvia,2021-10-19,4652299
Latvia,2021-10-20,4671676
Latvia,2021-10-21,4696318
Latvia,2021-10-22,4717884
Latvia,2021-10-23,4738102
Latvia,2021-10-24,4749348
Latvia,2021-10-25,4756627
Latvia,2021-10-26,4779716
Latvia,2021-10-27,4806805
Latvia,2021-10-28,4830837
Latvia,2021-10-29,4860470
Latvia,2021-10-30,4887899
Latvia,2021-10-31,4904866
Latvia,2021-11-01,4911758
Latvia,2021-11-02,4933547
Latvia,2021-11-03,4960863
Latvia,2021-11-04,4986999
Latvia,2021-11-05,5012813
Latvia,2021-11-06,5036719
Latvia,2021-11-07,5045153
Latvia,2021-11-08,5050572
Latvia,2021-11-09,5067019
Latvia,2021-11-10,5081507
Latvia,2021-11-11,5097069
Latvia,2021-11-12,5113776
Latvia,2021-11-13,5130959
Latvia,2021-11-14,5139517
Latvia,2021-11-15,5144724
Latvia,2021-11-16,5159133
Latvia,2021-11-17,5171192
Latvia,2021-11-18,5183900
Latvia,2021-11-19,5187117
Latvia,2021-11-20,5193021
Latvia,2021-11-21,5198775
Latvia,2021-11-22,5203080
Latvia,2021-11-23,5216557
Latvia,2021-11-24,5229166
Latvia,2021-11-25,5241696
Latvia,2021-11-26,5252544
Latvia,2021-11-27,5262789
Latvia,2021-11-28,5267823
Latvia,2021-11-29,5271695
Latvia,2021-11-30,5283341
Latvia,2021-12-01,5295135
Latvia,2021-12-02,5306149
Latvia,2021-12-03,5316255
Latvia,2021-12-04,5326983
Latvia,2021-12-05,5332873
Latvia,2021-12-06,5337040
Latvia,2021-12-07,5348844
Latvia,2021-12-08,5360233
Latvia,2021-12-09,5371947
Latvia,2021-12-10,5381931
Latvia,2021-12-11,5392999
Latvia,2021-12-12,5399082
Latvia,2021-12-13,5403292
Latvia,2021-12-14,5415203
Latvia,2021-12-15,5427499
Latvia,2021-12-16,5439062
Latvia,2021-12-17,5450419
Latvia,2021-12-18,5462146
Latvia,2021-12-19,5467541
Latvia,2021-12-20,5472474
Latvia,2021-12-21,5483756
Latvia,2021-12-22,5492801
Latvia,2021-12-23,5502085
Latvia,2021-12-24,5509959
Latvia,2021-12-25,5511728
Latvia,2021-12-26,5514860
Latvia,2021-12-27,5519111
Latvia,2021-12-28,5528956
Latvia,2021-12-29,5538862
Latvia,2021-12-30,5548688
Latvia,2021-12-31,5556489
Latvia,2022-01-01,5558163
Latvia,2022-01-02,5561291
Latvia,2022-01-03,5566877
Latvia,2022-01-04,5578568
Latvia,2022-01-05,5591334
Latvia,2022-01-06,5602621
Latvia,2022-01-07,5614208
Latvia,2022-01-08,5625006
Latvia,2022-01-09,5632828
Latvia,2022-01-10,5638608
Latvia,2022-01-11,5652577
Latvia,2022-01-12,5666630
Latvia,2022-01-13,5683484
Latvia,2022-01-14,5701285
Latvia,2022-01-15,5722554
Latvia,2022-01-16,5733548
Latvia,2022-01-17,5740719
Latvia,2022-01-18,5759431
Latvia,2022-01-19,5781920
Latvia,2022-01-20,5805589
Latvia,2022-01-21,5830988
Latvia,2022-01-22,5857842
Latvia,2022-01-23,5878297
Latvia,2022-01-24,5892807
