country,date,tests_cumulative
Netherlands,2021-02-19,8875125
Netherlands,2021-02-20,8914146
Netherlands,2021-02-21,8949344
Netherlands,2021-02-22,9002211
Netherlands,2021-02-23,9053177
Netherlands,2021-02-24,9110438
Netherlands,2021-02-25,9162295
Netherlands,2021-02-26,9211355
Netherlands,2021-02-27,9253781
Netherlands,2021-02-28,9294542
Netherlands,2021-03-01,9355431
Netherlands,2021-03-02,9414140
Netherlands,2021-03-03,9473409
Netherlands,2021-03-04,9530293
Netherlands,2021-03-05,9583734
Netherlands,2021-03-06,9633940
Netherlands,2021-03-07,9684868
Netherlands,2021-03-08,9754320
Netherlands,2021-03-09,9828599
Netherlands,2021-03-10,9909717
Netherlands,2021-03-11,9982174
Netherlands,2021-03-12,10052416
Netherlands,2021-03-13,10117130
Netherlands,2021-03-14,10181252
Netherlands,2021-03-15,10267486
Netherlands,2021-03-16,10353396
Netherlands,2021-03-17,10442920
Netherlands,2021-03-18,10524299
Netherlands,2021-03-19,10602030
Netherlands,2021-03-20,10671293
Netherlands,2021-03-21,10740360
Netherlands,2021-03-22,10833242
Netherlands,2021-03-23,10928427
Netherlands,2021-03-24,11024981
Netherlands,2021-03-25,11115985
Netherlands,2021-03-26,11197863
Netherlands,2021-03-27,11269790
Netherlands,2021-03-28,11337267
Netherlands,2021-03-29,11431663
Netherlands,2021-03-30,11520899
Netherlands,2021-03-31,11606284
Netherlands,2021-04-01,11685415
Netherlands,2021-04-02,11757641
Netherlands,2021-04-03,11821049
Netherlands,2021-04-04,11878196
Netherlands,2021-04-05,11950169
Netherlands,2021-04-06,12042055
Netherlands,2021-04-07,12130827
Netherlands,2021-04-08,12212073
Netherlands,2021-04-09,12284884
Netherlands,2021-04-10,12349717
Netherlands,2021-04-11,12414306
Netherlands,2021-04-12,12499731
Netherlands,2021-04-13,12584482
Netherlands,2021-04-14,12674076
Netherlands,2021-04-15,12755063
Netherlands,2021-04-16,12828318
Netherlands,2021-04-17,12892894
Netherlands,2021-04-18,12958032
Netherlands,2021-04-19,13048936
Netherlands,2021-04-20,13137034
Netherlands,2021-04-21,13227579
Netherlands,2021-04-22,13306941
Netherlands,2021-04-23,13373926
Netherlands,2021-04-24,13435884
Netherlands,2021-04-25,13496858
Netherlands,2021-04-26,13572756
Netherlands,2021-04-27,13634387
Netherlands,2021-04-28,13709911
Netherlands,2021-04-29,13781978
Netherlands,2021-04-30,13848386
Netherlands,2021-05-01,13902400
Netherlands,2021-05-02,13954801
Netherlands,2021-05-03,14022926
Netherlands,2021-05-04,14085218
Netherlands,2021-05-05,14150089
Netherlands,2021-05-06,14209005
Netherlands,2021-05-07,14264047
Netherlands,2021-05-08,14310908
Netherlands,2021-05-09,14351222
Netherlands,2021-05-10,14407145
Netherlands,2021-05-11,14457874
Netherlands,2021-05-12,14505560
Netherlands,2021-05-13,14544840
Netherlands,2021-05-14,14585653
Netherlands,2021-05-15,14621407
Netherlands,2021-05-16,14657401
Netherlands,2021-05-17,14707413
Netherlands,2021-05-18,14749419
Netherlands,2021-05-19,14789535
Netherlands,2021-05-20,14827087
Netherlands,2021-05-21,14862439
Netherlands,2021-05-22,14893448
Netherlands,2021-05-23,14921658
Netherlands,2021-05-24,14951999
Netherlands,2021-05-25,14991459
Netherlands,2021-05-26,15034436
Netherlands,2021-05-27,15071034
Netherlands,2021-05-28,15102658
Netherlands,2021-05-29,15127259
Netherlands,2021-05-30,15153060
Netherlands,2021-05-31,15192455
Netherlands,2021-06-01,15227313
Netherlands,2021-06-02,15261310
Netherlands,2021-06-03,15291343
Netherlands,2021-06-04,15316925
Netherlands,2021-06-05,15339509
Netherlands,2021-06-06,15362457
Netherlands,2021-06-07,15396097
Netherlands,2021-06-08,15426357
Netherlands,2021-06-09,15456105
Netherlands,2021-06-10,15480256
Netherlands,2021-06-11,15501441
Netherlands,2021-06-12,15518923
Netherlands,2021-06-13,15535871
Netherlands,2021-06-14,15562891
Netherlands,2021-06-15,15587571
Netherlands,2021-06-16,15610804
Netherlands,2021-06-17,15629548
Netherlands,2021-06-18,15646655
Netherlands,2021-06-19,15661203
Netherlands,2021-06-20,15674990
Netherlands,2021-06-21,15698432
Netherlands,2021-06-22,15719272
Netherlands,2021-06-23,15740330
Netherlands,2021-06-24,15759964
Netherlands,2021-06-25,15777867
Netherlands,2021-06-26,15791889
Netherlands,2021-06-27,15804861
Netherlands,2021-06-28,15826496
Netherlands,2021-06-29,15847276
Netherlands,2021-06-30,15867159
Netherlands,2021-07-01,15887695
Netherlands,2021-07-02,15907914
Netherlands,2021-07-03,15924116
Netherlands,2021-07-04,15943433
Netherlands,2021-07-05,15978554
Netherlands,2021-07-06,16021577
Netherlands,2021-07-07,16072468
Netherlands,2021-07-08,16132115
Netherlands,2021-07-09,16193142
Netherlands,2021-07-10,16247855
Netherlands,2021-07-11,16304021
Netherlands,2021-07-12,16375703
Netherlands,2021-07-13,16455798
Netherlands,2021-07-14,16539227
Netherlands,2021-07-15,16618899
Netherlands,2021-07-16,16688045
Netherlands,2021-07-17,16740640
Netherlands,2021-07-18,16786766
Netherlands,2021-07-19,16843131
Netherlands,2021-07-20,16894949
Netherlands,2021-07-21,16943522
Netherlands,2021-07-22,16986221
Netherlands,2021-07-23,17023664
Netherlands,2021-07-24,17053917
Netherlands,2021-07-25,17081588
Netherlands,2021-07-26,17116957
Netherlands,2021-07-27,17149126
Netherlands,2021-07-28,17178956
Netherlands,2021-07-29,17205684
Netherlands,2021-07-30,17230707
Netherlands,2021-07-31,17250457
Netherlands,2021-08-01,17268376
Netherlands,2021-08-02,17293010
Netherlands,2021-08-03,17315989
Netherlands,2021-08-04,17338024
Netherlands,2021-08-05,17358658
Netherlands,2021-08-06,17377983
Netherlands,2021-08-07,17393291
Netherlands,2021-08-08,17407525
Netherlands,2021-08-09,17428545
Netherlands,2021-08-10,17447311
Netherlands,2021-08-11,17465456
Netherlands,2021-08-12,17482607
Netherlands,2021-08-13,17499533
Netherlands,2021-08-14,17513909
Netherlands,2021-08-15,17527050
Netherlands,2021-08-16,17548167
Netherlands,2021-08-17,17568129
Netherlands,2021-08-18,17586473
Netherlands,2021-08-19,17604392
Netherlands,2021-08-20,17623037
Netherlands,2021-08-21,17638881
Netherlands,2021-08-22,17653663
Netherlands,2021-08-23,17675034
Netherlands,2021-08-24,17695232
Netherlands,2021-08-25,17716544
Netherlands,2021-08-26,17737272
Netherlands,2021-08-27,17757504
Netherlands,2021-08-28,17775798
Netherlands,2021-08-29,17794360
Netherlands,2021-08-30,17821597
Netherlands,2021-08-31,17848759
Netherlands,2021-09-01,17876097
Netherlands,2021-09-02,17901015
Netherlands,2021-09-03,17923826
Netherlands,2021-09-04,17944928
Netherlands,2021-09-05,17966192
Netherlands,2021-09-06,17999879
Netherlands,2021-09-07,18030410
Netherlands,2021-09-08,18060788
Netherlands,2021-09-09,18086491
Netherlands,2021-09-10,18110710
Netherlands,2021-09-11,18131111
Netherlands,2021-09-12,18151447
Netherlands,2021-09-13,18184138
Netherlands,2021-09-14,18213532
Netherlands,2021-09-15,18244309
Netherlands,2021-09-16,18268548
Netherlands,2021-09-17,18290231
Netherlands,2021-09-18,18307355
Netherlands,2021-09-19,18324443
Netherlands,2021-09-20,18355784
Netherlands,2021-09-21,18382869
Netherlands,2021-09-22,18408810
Netherlands,2021-09-23,18432599
Netherlands,2021-09-24,18452630
Netherlands,2021-09-25,18467340
Netherlands,2021-09-26,18481783
Netherlands,2021-09-27,18509495
Netherlands,2021-09-28,18532872
Netherlands,2021-09-29,18556507
Netherlands,2021-09-30,18578009
Netherlands,2021-10-01,18597597
Netherlands,2021-10-02,18612997
Netherlands,2021-10-03,18629299
Netherlands,2021-10-04,18658553
Netherlands,2021-10-05,18686705
Netherlands,2021-10-06,18714786
Netherlands,2021-10-07,18741357
Netherlands,2021-10-08,18764970
Netherlands,2021-10-09,18783836
Netherlands,2021-10-10,18803246
Netherlands,2021-10-11,18841044
Netherlands,2021-10-12,18875954
Netherlands,2021-10-13,18912825
Netherlands,2021-10-14,18948019
Netherlands,2021-10-15,18978531
Netherlands,2021-10-16,19002219
Netherlands,2021-10-17,19025567
Netherlands,2021-10-18,19066288
Netherlands,2021-10-19,19106684
Netherlands,2021-10-20,19148898
Netherlands,2021-10-21,19187823
Netherlands,2021-10-22,19224810
Netherlands,2021-10-23,19256097
Netherlands,2021-10-24,19286618
Netherlands,2021-10-25,19339385
Netherlands,2021-10-26,19391270
Netherlands,2021-10-27,19444068
Netherlands,2021-10-28,19495460
Netherlands,2021-10-29,19544441
Netherlands,2021-10-30,19584695
Netherlands,2021-10-31,19625259
Netherlands,2021-11-01,19689994
Netherlands,2021-11-02,19759218
Netherlands,2021-11-03,19832836
Netherlands,2021-11-04,19907492
Netherlands,2021-11-05,19983503
Netherlands,2021-11-06,20050442
Netherlands,2021-11-07,20115090
Netherlands,2021-11-08,20205647
Netherlands,2021-11-09,20301564
Netherlands,2021-11-10,20399119
Netherlands,2021-11-11,20498109
Netherlands,2021-11-12,20598020
Netherlands,2021-11-13,20686722
Netherlands,2021-11-14,20778546
Netherlands,2021-11-15,20888135
Netherlands,2021-11-16,20999889
Netherlands,2021-11-17,21113525
Netherlands,2021-11-18,21227647
Netherlands,2021-11-19,21340658
Netherlands,2021-11-20,21445933
Netherlands,2021-11-21,21549038
Netherlands,2021-11-22,21664988
Netherlands,2021-11-23,21789986
Netherlands,2021-11-24,21910576
Netherlands,2021-11-25,22030672
Netherlands,2021-11-26,22142371
Netherlands,2021-11-27,22252485
Netherlands,2021-11-28,22359216
Netherlands,2021-11-29,22480388
Netherlands,2021-11-30,22603615
Netherlands,2021-12-01,22725995
Netherlands,2021-12-02,22843233
Netherlands,2021-12-03,22947682
Netherlands,2021-12-04,23037181
Netherlands,2021-12-05,23113253
Netherlands,2021-12-06,23210898
Netherlands,2021-12-07,23301245
Netherlands,2021-12-08,23394832
Netherlands,2021-12-09,23478956
Netherlands,2021-12-10,23556020
Netherlands,2021-12-11,23616599
Netherlands,2021-12-12,23673430
Netherlands,2021-12-13,23756576
Netherlands,2021-12-14,23831155
Netherlands,2021-12-15,23909129
Netherlands,2021-12-16,23974330
Netherlands,2021-12-17,24036000
Netherlands,2021-12-18,24091439
Netherlands,2021-12-19,24144833
Netherlands,2021-12-20,24213906
Netherlands,2021-12-21,24279443
Netherlands,2021-12-22,24353709
Netherlands,2021-12-23,24430942
Netherlands,2021-12-24,24494986
Netherlands,2021-12-25,24534517
Netherlands,2021-12-26,24572555
Netherlands,2021-12-27,24632917
Netherlands,2021-12-28,24696973
Netherlands,2021-12-29,24774846
Netherlands,2021-12-30,24863976
Netherlands,2021-12-31,24926130
Netherlands,2022-01-01,24969538
Netherlands,2022-01-02,25036167
Netherlands,2022-01-03,25138367
Netherlands,2022-01-04,25252071
Netherlands,2022-01-05,25372318
Netherlands,2022-01-06,25494195
Netherlands,2022-01-07,25609973
Netherlands,2022-01-08,25717227
Netherlands,2022-01-09,25827212
Netherlands,2022-01-10,25961365
Netherlands,2022-01-11,26092453
Netherlands,2022-01-12,26229161
Netherlands,2022-01-13,26367898
Netherlands,2022-01-14,26510951
Netherlands,2022-01-15,26642565
Netherlands,2022-01-16,26778839
Netherlands,2022-01-17,26960498
Netherlands,2022-01-18,27156880
Netherlands,2022-01-19,27354887
Netherlands,2022-01-20,27564629
Netherlands,2022-01-21,27770597
Netherlands,2022-01-22,27962771
Netherlands,2022-01-23,28160322
