country,date,tests_cumulative
Slovenia,2021-12-27,11991553
Slovenia,2021-12-28,12091353
Slovenia,2021-12-29,12204853
Slovenia,2021-12-30,12309236
Slovenia,2021-12-31,12394659
Slovenia,2022-01-01,12407773
Slovenia,2022-01-02,12450623
Slovenia,2022-01-03,12557585
Slovenia,2022-01-04,12650795
Slovenia,2022-01-05,12751205
Slovenia,2022-01-06,12848737
Slovenia,2022-01-07,12959064
Slovenia,2022-01-08,13035276
Slovenia,2022-01-09,13078107
Slovenia,2022-01-10,13197153
Slovenia,2022-01-11,13296289
Slovenia,2022-01-12,13408209
Slovenia,2022-01-13,13509789
Slovenia,2022-01-14,13633221
Slovenia,2022-01-15,13719247
Slovenia,2022-01-16,13768974
Slovenia,2022-01-17,13894737
Slovenia,2022-01-18,14002419
Slovenia,2022-01-19,14122020
