country,date,tests_cumulative
US,2021-02-19,345402272
US,2021-02-20,346647365
US,2021-02-21,347854084
US,2021-02-22,349095215
US,2021-02-23,350336795
US,2021-02-24,351820450
US,2021-02-25,353637251
US,2021-02-26,355437162
US,2021-02-27,357068881
US,2021-02-28,358444181
US,2021-03-01,359662836
US,2021-03-02,360999143
US,2021-03-03,362447824
US,2021-03-04,364036123
US,2021-03-05,365767630
US,2021-03-06,367152799
US,2021-03-07,368288815
US,2021-03-08,369654374
US,2021-03-09,370996814
US,2021-03-10,372281107
US,2021-03-11,373751763
US,2021-03-12,375275671
US,2021-03-13,376965818
US,2021-03-14,378098036
US,2021-03-15,379317627
US,2021-03-16,380126800
US,2021-03-17,381595325
US,2021-03-18,383214526
US,2021-03-19,384918790
US,2021-03-20,386244367
US,2021-03-21,387322182
US,2021-03-22,388553548
US,2021-03-23,389602326
US,2021-03-24,390898198
US,2021-03-25,392450544
US,2021-03-26,394188638
US,2021-03-27,395374200
US,2021-03-28,396531905
US,2021-03-29,397994068
US,2021-03-30,399139185
US,2021-03-31,400448972
US,2021-04-01,402081782
US,2021-04-02,404005182
US,2021-04-03,405511527
US,2021-04-04,406368863
US,2021-04-05,407859428
US,2021-04-06,409079235
US,2021-04-07,410344447
US,2021-04-08,411983117
US,2021-04-09,413718974
US,2021-04-10,415155301
US,2021-04-11,416245956
US,2021-04-12,417384718
US,2021-04-13,418834194
US,2021-04-14,420164432
US,2021-04-15,421637089
US,2021-04-16,423310781
US,2021-04-17,424873618
US,2021-04-18,425900692
US,2021-04-19,427384500
US,2021-04-20,428352965
US,2021-04-21,429903400
US,2021-04-22,431946736
US,2021-04-23,433534999
US,2021-04-24,434974089
US,2021-04-25,435936455
US,2021-04-26,437341027
US,2021-04-27,438372885
US,2021-04-28,439583921
US,2021-04-29,441267322
US,2021-04-30,442846420
US,2021-05-01,443973082
US,2021-05-02,445196171
US,2021-05-03,446409561
US,2021-05-04,447356224
US,2021-05-05,448955328
US,2021-05-06,450319661
US,2021-05-07,451829340
US,2021-05-08,453121735
US,2021-05-09,453990387
US,2021-05-10,455085019
US,2021-05-11,456021033
US,2021-05-12,457070450
US,2021-05-13,458374197
US,2021-05-14,459674822
US,2021-05-15,460730588
US,2021-05-16,461598971
US,2021-05-17,462603389
US,2021-05-18,463417048
US,2021-05-19,464333864
US,2021-05-20,465468249
US,2021-05-21,466868367
US,2021-05-22,467866604
US,2021-05-23,468613436
US,2021-05-24,469587417
US,2021-05-25,470392338
US,2021-05-26,471340250
US,2021-05-27,472354157
US,2021-05-28,473370882
US,2021-05-29,474138843
US,2021-05-30,474776106
US,2021-05-31,475205325
US,2021-06-01,476053923
US,2021-06-02,476660901
US,2021-06-03,477472270
US,2021-06-04,478500311
US,2021-06-05,479291837
US,2021-06-06,479901439
US,2021-06-07,480808521
US,2021-06-08,481438251
US,2021-06-09,482203108
US,2021-06-10,483041832
US,2021-06-11,483849804
US,2021-06-12,484538051
US,2021-06-13,485045962
US,2021-06-14,485863773
US,2021-06-15,486444368
US,2021-06-16,487067422
US,2021-06-17,487861812
US,2021-06-18,488645959
US,2021-06-19,489153464
US,2021-06-20,489553398
US,2021-06-21,490403839
US,2021-06-22,490943580
US,2021-06-23,491508889
US,2021-06-24,492065962
US,2021-06-25,492814899
US,2021-06-26,493339232
US,2021-06-27,493704455
US,2021-06-28,494556841
US,2021-06-29,495081712
US,2021-06-30,495885175
US,2021-07-01,496519364
US,2021-07-02,497309978
US,2021-07-03,497568607
US,2021-07-04,497744136
US,2021-07-05,498003380
US,2021-07-06,498778204
US,2021-07-07,499216621
US,2021-07-08,500418315
US,2021-07-09,501202772
US,2021-07-10,501453668
US,2021-07-11,501656585
US,2021-07-12,502944273
US,2021-07-13,503510945
US,2021-07-14,504175046
US,2021-07-15,504879365
US,2021-07-16,505636442
US,2021-07-17,505888869
US,2021-07-18,506121193
US,2021-07-19,507535123
US,2021-07-20,508154302
US,2021-07-21,508972639
US,2021-07-22,509830047
US,2021-07-23,511506156
US,2021-07-24,511849615
US,2021-07-25,512116535
US,2021-07-26,513778285
US,2021-07-27,514705763
US,2021-07-28,515589435
US,2021-07-29,516636647
US,2021-07-30,517704758
US,2021-07-31,518138628
US,2021-08-01,518447134
US,2021-08-02,520426657
US,2021-08-03,521472361
US,2021-08-04,522512487
US,2021-08-05,523716190
US,2021-08-06,525121132
US,2021-08-07,525864105
US,2021-08-08,526509894
US,2021-08-09,528512722
US,2021-08-10,529661197
US,2021-08-11,530934536
US,2021-08-12,532347050
US,2021-08-13,533885424
US,2021-08-14,534669702
US,2021-08-15,535427893
US,2021-08-16,537607021
US,2021-08-17,539014200
US,2021-08-18,540486608
US,2021-08-19,542044861
US,2021-08-20,543786823
US,2021-08-21,544465930
US,2021-08-22,545280298
US,2021-08-23,547930081
US,2021-08-24,549345659
US,2021-08-25,550889219
US,2021-08-26,552711745
US,2021-08-27,554622939
US,2021-08-28,555599518
US,2021-08-29,556611906
US,2021-08-30,559324995
US,2021-08-31,560926887
US,2021-09-01,563055126
US,2021-09-02,564855413
US,2021-09-03,566805355
US,2021-09-04,567754631
US,2021-09-05,568716676
US,2021-09-06,569703756
US,2021-09-07,572299887
US,2021-09-08,574313399
US,2021-09-09,575966127
US,2021-09-10,577779178
US,2021-09-11,578935963
US,2021-09-12,579818930
US,2021-09-13,582872906
US,2021-09-14,584434098
US,2021-09-15,586674400
US,2021-09-16,588522783
US,2021-09-17,590503931
US,2021-09-18,591594247
US,2021-09-19,592499863
US,2021-09-20,595457844
US,2021-09-21,596838513
US,2021-09-22,598390810
US,2021-09-23,600068468
US,2021-09-24,602154432
US,2021-09-25,602879525
US,2021-09-26,603466441
US,2021-09-27,607156067
US,2021-09-28,608537345
US,2021-09-29,610194354
US,2021-09-30,612060641
US,2021-10-01,613932657
US,2021-10-02,614611705
US,2021-10-03,615202929
US,2021-10-04,618719734
US,2021-10-05,620030624
US,2021-10-06,621424204
US,2021-10-07,623056665
US,2021-10-08,625196752
US,2021-10-09,625847994
US,2021-10-10,626324358
US,2021-10-11,628993574
US,2021-10-12,631003540
US,2021-10-13,632319420
US,2021-10-14,633993466
US,2021-10-15,635803307
US,2021-10-16,636479515
US,2021-10-17,636974063
US,2021-10-18,640357650
US,2021-10-19,641680809
US,2021-10-20,643017243
US,2021-10-21,644553684
US,2021-10-22,646372580
US,2021-10-23,646974868
US,2021-10-24,647455628
US,2021-10-25,649415991
US,2021-10-26,651858014
US,2021-10-27,653162630
US,2021-10-28,654721464
US,2021-10-29,656405184
US,2021-10-30,656977046
US,2021-10-31,657487159
US,2021-11-01,660643045
US,2021-11-02,661717807
US,2021-11-03,663128428
US,2021-11-04,664568028
US,2021-11-05,666360261
US,2021-11-06,666906594
US,2021-11-07,667430451
US,2021-11-08,670536887
US,2021-11-09,671759134
US,2021-11-10,673050659
US,2021-11-11,674072447
US,2021-11-12,675898303
US,2021-11-13,677374138
US,2021-11-14,677913573
US,2021-11-15,680635565
US,2021-11-16,681779870
US,2021-11-17,683470863
US,2021-11-18,685143856
US,2021-11-19,687041783
US,2021-11-20,687591490
US,2021-11-21,688125011
US,2021-11-22,691475103
US,2021-11-23,692591471
US,2021-11-24,690160567
US,2021-11-25,690755804
US,2021-11-26,691510859
US,2021-11-27,691858716
US,2021-11-28,692172524
US,2021-11-29,695302712
US,2021-11-30,696348483
US,2021-12-01,697670003
US,2021-12-02,699708457
US,2021-12-03,702985560
US,2021-12-04,703601649
US,2021-12-05,704190167
US,2021-12-06,706354264
US,2021-12-07,711775913
US,2021-12-08,713801696
US,2021-12-09,715472505
US,2021-12-10,717686035
US,2021-12-11,718405958
US,2021-12-12,719041858
US,2021-12-13,722634054
US,2021-12-14,724067603
US,2021-12-15,725561222
US,2021-12-16,727349284
US,2021-12-17,729333517
US,2021-12-18,730038062
US,2021-12-19,730748794
US,2021-12-20,734583206
US,2021-12-21,736244276
US,2021-12-22,737956891
US,2021-12-23,739883042
US,2021-12-24,741244453
US,2021-12-25,741498193
US,2021-12-26,742574221
US,2021-12-27,745644638
US,2021-12-28,748349227
US,2021-12-29,750694615
US,2021-12-30,752961413
US,2021-12-31,754413098
US,2022-01-01,754753129
US,2022-01-02,755307446
US,2022-01-03,759438417
US,2022-01-04,763635968
US,2022-01-05,766018038
US,2022-01-06,768574552
US,2022-01-07,771456575
US,2022-01-08,772631784
US,2022-01-09,773791525
US,2022-01-10,780096837
US,2022-01-11,783073280
US,2022-01-12,786309283
US,2022-01-13,789550228
US,2022-01-14,792703138
US,2022-01-15,793833651
US,2022-01-16,795225277
US,2022-01-17,798901181
US,2022-01-18,803730022
US,2022-01-19,806493074
US,2022-01-20,809456562
US,2022-01-21,812531602
US,2022-01-22,813657225
US,2022-01-23,814577418
US,2022-01-24,819861602
US,2022-01-25,821962909
