country,date,tests_cumulative
UnitedKingdom,2021-02-19,82046229
UnitedKingdom,2021-02-20,82463979
UnitedKingdom,2021-02-21,83063780
UnitedKingdom,2021-02-22,83769892
UnitedKingdom,2021-02-23,84392344
UnitedKingdom,2021-02-24,85153541
UnitedKingdom,2021-02-25,85925041
UnitedKingdom,2021-02-26,86554704
UnitedKingdom,2021-02-27,86950527
UnitedKingdom,2021-02-28,87496888
UnitedKingdom,2021-03-01,88264597
UnitedKingdom,2021-03-02,88994478
UnitedKingdom,2021-03-03,89887019
UnitedKingdom,2021-03-04,90933060
UnitedKingdom,2021-03-05,91944455
UnitedKingdom,2021-03-06,92427640
UnitedKingdom,2021-03-07,93252192
UnitedKingdom,2021-03-08,94863125
UnitedKingdom,2021-03-09,96352115
UnitedKingdom,2021-03-10,98018418
UnitedKingdom,2021-03-11,99753919
UnitedKingdom,2021-03-12,101275568
UnitedKingdom,2021-03-13,101747711
UnitedKingdom,2021-03-14,102739526
UnitedKingdom,2021-03-15,104422879
UnitedKingdom,2021-03-16,105849755
UnitedKingdom,2021-03-17,107584947
UnitedKingdom,2021-03-18,109160007
UnitedKingdom,2021-03-19,110180128
UnitedKingdom,2021-03-20,110684841
UnitedKingdom,2021-03-21,112602641
UnitedKingdom,2021-03-22,113930657
UnitedKingdom,2021-03-23,114841325
UnitedKingdom,2021-03-24,116704955
UnitedKingdom,2021-03-25,118144044
UnitedKingdom,2021-03-26,118903237
UnitedKingdom,2021-03-27,119404185
UnitedKingdom,2021-03-28,121071863
UnitedKingdom,2021-03-29,122092382
UnitedKingdom,2021-03-30,122824208
UnitedKingdom,2021-03-31,124147198
UnitedKingdom,2021-04-01,125225481
UnitedKingdom,2021-04-02,125844450
UnitedKingdom,2021-04-03,126284831
UnitedKingdom,2021-04-04,127128065
UnitedKingdom,2021-04-05,128000297
UnitedKingdom,2021-04-06,128712320
UnitedKingdom,2021-04-07,129798698
UnitedKingdom,2021-04-08,130849530
UnitedKingdom,2021-04-09,131601153
UnitedKingdom,2021-04-10,132121175
UnitedKingdom,2021-04-11,133375844
UnitedKingdom,2021-04-12,134397573
UnitedKingdom,2021-04-13,135152009
UnitedKingdom,2021-04-14,136363617
UnitedKingdom,2021-04-15,137478788
UnitedKingdom,2021-04-16,138241531
UnitedKingdom,2021-04-17,138771896
UnitedKingdom,2021-04-18,140486853
UnitedKingdom,2021-04-19,141704576
UnitedKingdom,2021-04-20,142527783
UnitedKingdom,2021-04-21,143949153
UnitedKingdom,2021-04-22,145213900
UnitedKingdom,2021-04-23,146022203
UnitedKingdom,2021-04-24,146560366
UnitedKingdom,2021-04-25,148076928
UnitedKingdom,2021-04-26,149291858
UnitedKingdom,2021-04-27,150101360
UnitedKingdom,2021-04-28,151516625
UnitedKingdom,2021-04-29,152743200
UnitedKingdom,2021-04-30,153491922
UnitedKingdom,2021-05-01,154011981
UnitedKingdom,2021-05-02,154880126
UnitedKingdom,2021-05-03,156093792
UnitedKingdom,2021-05-04,157088742
UnitedKingdom,2021-05-05,158363333
UnitedKingdom,2021-05-06,159580869
UnitedKingdom,2021-05-07,160342371
UnitedKingdom,2021-05-08,160869162
UnitedKingdom,2021-05-09,162226572
UnitedKingdom,2021-05-10,163345211
UnitedKingdom,2021-05-11,164129675
UnitedKingdom,2021-05-12,165362038
UnitedKingdom,2021-05-13,164012960
UnitedKingdom,2021-05-14,164769141
UnitedKingdom,2021-05-15,165259759
UnitedKingdom,2021-05-16,166384182
UnitedKingdom,2021-05-17,167599744
UnitedKingdom,2021-05-18,168404482
UnitedKingdom,2021-05-19,169635175
UnitedKingdom,2021-05-20,170774076
UnitedKingdom,2021-05-21,171561923
UnitedKingdom,2021-05-22,172094944
UnitedKingdom,2021-05-23,173297678
UnitedKingdom,2021-05-24,174394703
UnitedKingdom,2021-05-25,175208582
UnitedKingdom,2021-05-26,176394409
UnitedKingdom,2021-05-27,177486846
UnitedKingdom,2021-05-28,178229622
UnitedKingdom,2021-05-29,178748832
UnitedKingdom,2021-05-30,179400500
UnitedKingdom,2021-05-31,180083008
UnitedKingdom,2021-06-01,180817234
UnitedKingdom,2021-06-02,181720658
UnitedKingdom,2021-06-03,182624589
UnitedKingdom,2021-06-04,183348677
UnitedKingdom,2021-06-05,183870048
UnitedKingdom,2021-06-06,185147729
UnitedKingdom,2021-06-07,186203156
UnitedKingdom,2021-06-08,186996151
UnitedKingdom,2021-06-09,188125558
UnitedKingdom,2021-06-10,189209010
UnitedKingdom,2021-06-11,190022708
